GameNum,Date,LA,Site,Boston  ,Winner,Score,OT,WinningTeam,LAWins,BosWins
302,8-Mar-25,Los Angeles Lakers,@,Boston Celtics,L,101 - 111,,Celtics ,135,167
301,23-Jan-25,Los Angeles Lakers,vs.,Boston Celtics,W,117 - 96,,Lakers ,135,166
300,1-Feb-24,Los Angeles Lakers,@,Boston Celtics,W,114 - 105,,Lakers ,134,166
299,25-Dec-23,Los Angeles Lakers,vs.,Boston Celtics,L,115 - 126,,Celtics ,133,166
298,28-Jan-23,Los Angeles Lakers,@,Boston Celtics,L,121 - 125,OT,Celtics ,133,165
297,13-Dec-22,Los Angeles Lakers,vs.,Boston Celtics,L,118 - 122,OT,Celtics ,133,164
296,7-Dec-21,Los Angeles Lakers,vs.,Boston Celtics,W,117 - 102,,Lakers ,133,163
295,19-Nov-21,Los Angeles Lakers,@,Boston Celtics,L,108 - 130,,Celtics ,132,163
294,15-Apr-21,Los Angeles Lakers,vs.,Boston Celtics,L,113 - 121,,Celtics ,132,162
293,30-Jan-21,Los Angeles Lakers,@,Boston Celtics,W,96 - 95,,Lakers ,132,161
292,23-Feb-20,Los Angeles Lakers,vs.,Boston Celtics,W,114 - 112,,Lakers ,131,161
291,20-Jan-20,Los Angeles Lakers,@,Boston Celtics,L,107 - 139,,Celtics ,130,161
290,9-Mar-19,Los Angeles Lakers,vs.,Boston Celtics,L,107 - 120,,Celtics ,130,160
289,7-Feb-19,Los Angeles Lakers,@,Boston Celtics,W,129 - 128,,Lakers ,130,159
288,23-Jan-18,Los Angeles Lakers,vs.,Boston Celtics,W,108 - 107,,Lakers ,129,159
287,8-Nov-17,Los Angeles Lakers,@,Boston Celtics,L,96 - 107,,Celtics ,128,159
286,3-Mar-17,Los Angeles Lakers,vs.,Boston Celtics,L,95 - 115,,Celtics ,128,158
285,3-Feb-17,Los Angeles Lakers,@,Boston Celtics,L,107 - 113,,Celtics ,128,157
284,3-Apr-16,Los Angeles Lakers,vs.,Boston Celtics,L,100 - 107,,Celtics ,128,156
283,30-Dec-15,Los Angeles Lakers,@,Boston Celtics,W,112 - 104,,Lakers ,128,155
282,22-Feb-15,Los Angeles Lakers,vs.,Boston Celtics,W,118 - 111,OT,Lakers ,127,155
281,5-Dec-14,Los Angeles Lakers,@,Boston Celtics,L,96 - 113,,Celtics ,126,155
280,21-Feb-14,Los Angeles Lakers,vs.,Boston Celtics,W,101 - 92,,Lakers ,126,154
279,17-Jan-14,Los Angeles Lakers,@,Boston Celtics,W,107 - 104,,Lakers ,125,154
278,20-Feb-13,Los Angeles Lakers,vs.,Boston Celtics,W,113 - 99,,Lakers ,124,154
277,7-Feb-13,Los Angeles Lakers,@,Boston Celtics,L,95 - 116,,Celtics ,123,154
276,11-Mar-12,Los Angeles Lakers,vs.,Boston Celtics,W,97 - 94,,Lakers ,123,153
275,9-Feb-12,Los Angeles Lakers,@,Boston Celtics,W,88 - 87,OT,Lakers ,122,153
274,10-Feb-11,Los Angeles Lakers,@,Boston Celtics,W,92 - 86,,Lakers ,121,153
273,30-Jan-11,Los Angeles Lakers,vs.,Boston Celtics,L,96 - 109,,Celtics ,120,153
272,18-Feb-10,Los Angeles Lakers,vs.,Boston Celtics,L,86 - 87,,Celtics ,120,152
271,31-Jan-10,Los Angeles Lakers,@,Boston Celtics,W,90 - 89,,Lakers ,120,151
270,5-Feb-09,Los Angeles Lakers,@,Boston Celtics,W,110 - 109,OT,Lakers ,119,151
269,25-Dec-08,Los Angeles Lakers,vs.,Boston Celtics,W,92 - 83,,Lakers ,118,151
268,30-Dec-07,Los Angeles Lakers,vs.,Boston Celtics,L,91 - 110,,Celtics ,117,151
267,23-Nov-07,Los Angeles Lakers,@,Boston Celtics,L,94 - 107,,Celtics ,117,150
266,23-Feb-07,Los Angeles Lakers,vs.,Boston Celtics,W,122 - 96,,Lakers ,117,149
265,31-Jan-07,Los Angeles Lakers,@,Boston Celtics,W,111 - 98,,Lakers ,116,149
264,20-Mar-06,Los Angeles Lakers,@,Boston Celtics,W,105 - 97,,Lakers ,115,149
263,26-Feb-06,Los Angeles Lakers,vs.,Boston Celtics,L,111 - 112,,Celtics ,114,149
262,2-Mar-05,Los Angeles Lakers,@,Boston Celtics,L,101 - 104,,Celtics ,114,148
261,22-Feb-05,Los Angeles Lakers,vs.,Boston Celtics,W,104 - 95,,Lakers ,114,147
260,10-Mar-04,Los Angeles Lakers,@,Boston Celtics,W,117 - 109,,Lakers ,113,147
259,28-Dec-03,Los Angeles Lakers,vs.,Boston Celtics,W,105 - 82,,Lakers ,112,147
258,21-Mar-03,Los Angeles Lakers,vs.,Boston Celtics,W,104 - 96,,Lakers ,111,147
257,7-Nov-02,Los Angeles Lakers,@,Boston Celtics,L,95 - 98,OT,Celtics ,110,147
256,5-Apr-02,Los Angeles Lakers,@,Boston Celtics,L,81 - 99,,Celtics ,110,146
255,19-Feb-02,Los Angeles Lakers,vs.,Boston Celtics,L,108 - 109,,Celtics ,110,145
254,6-Apr-01,Los Angeles Lakers,@,Boston Celtics,W,100 - 96,,Lakers ,110,144
253,13-Mar-01,Los Angeles Lakers,vs.,Boston Celtics,W,112 - 107,,Lakers ,109,144
252,25-Feb-00,Los Angeles Lakers,vs.,Boston Celtics,W,109 - 96,,Lakers ,108,144
251,20-Dec-99,Los Angeles Lakers,@,Boston Celtics,W,99 - 90,,Lakers ,107,144
250,28-Dec-97,Los Angeles Lakers,vs.,Boston Celtics,L,102 - 108,,Celtics ,106,144
249,26-Nov-97,Los Angeles Lakers,@,Boston Celtics,W,118 - 103,,Lakers ,106,143
248,27-Dec-96,Los Angeles Lakers,vs.,Boston Celtics,W,109 - 102,,Lakers ,105,143
247,27-Nov-96,Los Angeles Lakers,@,Boston Celtics,L,94 - 110,,Celtics ,104,143
246,24-Jan-96,Los Angeles Lakers,@,Boston Celtics,W,124 - 107,,Lakers ,104,142
245,26-Dec-95,Los Angeles Lakers,vs.,Boston Celtics,W,102 - 91,,Lakers ,103,142
244,17-Mar-95,Los Angeles Lakers,vs.,Boston Celtics,L,92 - 118,,Celtics ,102,142
243,20-Jan-95,Los Angeles Lakers,@,Boston Celtics,W,120 - 118,,Lakers ,102,141
242,4-Mar-94,Los Angeles Lakers,@,Boston Celtics,L,99 - 109,,Celtics ,101,141
241,27-Feb-94,Los Angeles Lakers,vs.,Boston Celtics,W,100 - 97,,Lakers ,101,140
240,19-Mar-93,Los Angeles Lakers,vs.,Boston Celtics,L,119 - 129,,Celtics ,100,140
239,31-Jan-93,Los Angeles Lakers,@,Boston Celtics,W,96 - 87,,Lakers ,100,139
238,16-Feb-92,Los Angeles Lakers,vs.,Boston Celtics,L,107 - 114,,Celtics ,99,139
237,29-Nov-91,Los Angeles Lakers,@,Boston Celtics,L,91 - 114,,Celtics ,99,138
236,15-Feb-91,Los Angeles Lakers,vs.,Boston Celtics,L,85 - 98,,Celtics ,99,137
235,27-Jan-91,Los Angeles Lakers,@,Boston Celtics,W,104 - 87,,Lakers ,99,136
234,18-Feb-90,Los Angeles Lakers,vs.,Boston Celtics,W,116 - 110,,Lakers ,98,136
233,15-Dec-89,Los Angeles Lakers,@,Boston Celtics,W,119 - 110,,Lakers ,97,136
