,CD,Population,White,Black,AmInd,Asian,Pacific,OtherRace,TwoRace,Hispanic,VotingAge,MHInc,PerCapInc,MedHsngVal,MedRent,Gini,TotHousingUnits,OccUnits,OwnerOcc,RentOcc,VacantUnits,FIPS,CDCode,Incumbent,Party,Clinton2016,Trump2016,Obama2012,Romney202,Obama2008,McCain2008
20,AL-01,715346,479949,196891,6992,10627,183,7691,13013,24141,544464,46445,26561,152100,844,0.4824,342612,272626,180163,92463,69986,1,1,"Byrne, Bradley",(R),34.1,63.5,37.4,61.8,38.5,60.9
328,AL-02,678122,426674,217977,2838,7442,26,8158,15007,24953,516295,48290,25917,129700,778,0.4763,319106,254315,167745,86570,64791,1,2,"Roby, Martha",(R),33,64.9,36.4,62.9,35,64.5
231,AL-03,708409,490987,183949,1300,13049,0,6291,12833,22102,543854,45832,25435,139500,765,0.4923,332603,264595,182223,82372,68008,1,3,"Rogers, Mike",(R),32.3,65.3,36.8,62.3,36.6,62.6
49,AL-04,686297,591084,51171,4391,3072,677,20337,15565,44731,515701,45387,25159,124000,657,0.4792,317421,256963,188885,68078,60458,1,4,"Aderholt, Rob",(R),17.4,80.4,24,74.8,25.5,73.3
56,AL-05,725634,539903,130913,3123,12215,160,19959,19361,38726,551968,57174,31702,167300,766,0.4658,323745,290207,198891,91316,33538,1,5,"Brooks, Mo",(R),31.3,64.7,34.9,63.9,36.3,62.6
240,AL-06,713595,556700,109254,1512,13683,545,15654,16247,33522,535753,66835,35596,204600,969,0.4667,306242,266268,200778,65490,39974,1,6,"Palmer, Gary",(R),26.1,70.8,24.7,74.3,25,74.1
381,AL-07,660468,221541,416885,1907,5007,206,5937,8985,23310,504177,37123,21611,99700,794,0.4965,332982,250210,143572,106638,82772,1,7,"Sewell, Terri",(D),69.8,28.6,72.4,27.1,71.5,28.1
177,AK-AL,737438,474555,25197,111371,46381,7958,9780,62196,53069,532244,74346,35735,276100,1177,0.4322,318352,254551,167108,87443,63801,2,0,"Young, Don",(R),37.6,52.8,41.2,55.3,38.1,59.7
80,AZ-01,770392,504227,19319,180970,11798,1188,24250,28640,177124,568661,55444,24913,194100,971,0.4466,348097,260716,187925,72791,87381,4,1,"O'Halleran, Tom",(D),46.6,47.7,47.9,50.4,47.8,51
217,AZ-02,724747,584070,28469,13349,21765,1139,39945,36010,211844,550044,53292,31413,196700,879,0.4661,350105,299328,186083,113245,50777,4,2,"McSally, Martha",(R),49.6,44.7,48.4,49.9,48.9,49.8
283,AZ-03,798359,564199,40208,40005,16746,2281,99418,35502,506933,500787,50291,21321,169900,914,0.4469,280554,248402,155270,93132,32152,4,3,"Grijalva, Raul",(D),62.4,32.5,61.4,36.9,58.2,40.7
326,AZ-04,809426,723818,14247,11383,11679,2348,19206,26745,160649,633528,52481,27078,217700,888,0.429,406015,324737,245991,78746,81278,4,4,"Gosar, Paul",(R),27.5,67.7,31,67.2,34.4,64.2
218,AZ-05,841344,700892,35213,10581,41526,1031,22035,30066,146748,587681,78797,35951,299500,1301,0.4238,335108,294051,218480,75571,41057,4,5,"Biggs, Andy",(R),36.5,57.6,34.6,63.8,36.3,62.6
207,AZ-06,783621,663178,26842,12702,35839,838,18430,25792,140297,577899,73608,46210,367500,1184,0.4912,370737,324886,207804,117082,45851,4,6,"Schweikert, David",(R),42.4,52.4,38.8,59.5,41.2,57.7
208,AZ-07,854749,607405,82671,30209,19817,176,78407,36064,548361,454957,46053,20079,182600,954,0.4561,271997,250303,114911,135392,21694,4,7,"Gallego, Ruben",(D),71.8,22.6,71.7,26.5,64.7,34.1
37,AZ-08,794820,656356,39285,6764,33004,2259,26855,30297,160989,599423,68097,32900,265200,1247,0.4137,326339,294239,223425,70814,32100,4,8,Not Seated,(R),37,58.1,36.9,61.7,38.4,60.6
110,AZ-09,794188,586360,50086,24636,45699,4401,45142,37864,213397,562791,60705,35612,293300,1080,0.4745,346950,317636,154478,163158,29314,4,9,"Sinema, Kyrsten",(D),54.7,38.4,51.1,46.6,51.3,47.4
