,Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
0,194911100BOS,MNL,game,,George Mikan,mikange01,,13.0,,,,,,11.0,12.0,0.917,,,,,,,,5.0,37.0,,
1,194911100BOS,MNL,game,,Jim Pollard,pollaji01,,9.0,,,,,,3.0,4.0,0.75,,,,,,,,0.0,21.0,,
2,194911100BOS,MNL,game,,Vern Mikkelsen,mikkeve01,,4.0,,,,,,2.0,3.0,0.667,,,,,,,,2.0,10.0,,
3,194911100BOS,MNL,game,,Herm Schaefer,schaehe01,,4.0,,,,,,1.0,1.0,1.0,,,,,,,,2.0,9.0,,
4,194911100BOS,MNL,game,,Don Carlson,carlsdo01,,4.0,,,,,,0.0,0.0,,,,,,,,,3.0,8.0,,
5,194911100BOS,MNL,game,,Gene Stump,stumpge01,,2.0,,,,,,0.0,0.0,,,,,,,,,5.0,4.0,,
6,194911100BOS,MNL,game,,Arnie Ferrin,ferriar01,,1.0,,,,,,1.0,3.0,0.333,,,,,,,,5.0,3.0,,
7,194911100BOS,MNL,game,,Slater Martin,martisl01,,1.0,,,,,,1.0,2.0,0.5,,,,,,,,4.0,3.0,,
8,194911100BOS,MNL,game,,Paul Walther,walthpa01,,1.0,,,,,,0.0,0.0,,,,,,,,,0.0,2.0,,
9,194911100BOS,MNL,game,,Bob Harrison,harribo02,,0.0,,,,,,1.0,1.0,1.0,,,,,,,,6.0,1.0,,
10,194911100BOS,MNL,game,,Tony Jaros,jarosto01,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,
11,194911100BOS,BOS,game,,George Kaftan,kaftage01,,4.0,,,,,,10.0,10.0,1.0,,,,,,,,2.0,18.0,,
12,194911100BOS,BOS,game,,Sonny Hertzberg,hertzso01,,8.0,,,,,,1.0,2.0,0.5,,,,,,,,1.0,17.0,,
13,194911100BOS,BOS,game,,Jim Seminoff,seminji01,,3.0,,,,,,7.0,7.0,1.0,,,,,,,,2.0,13.0,,
14,194911100BOS,BOS,game,,George Nostrand,nostrge01,,3.0,,,,,,3.0,5.0,0.6,,,,,,,,6.0,9.0,,
15,194911100BOS,BOS,game,,Bob Kinney,kinnebo01,,3.0,,,,,,2.0,5.0,0.4,,,,,,,,5.0,8.0,,
16,194911100BOS,BOS,game,,Johnny Ezersky,ezersjo01,,2.0,,,,,,0.0,0.0,,,,,,,,,1.0,4.0,,
17,194911100BOS,BOS,game,,Howie Shannon,shannho01,,1.0,,,,,,2.0,3.0,0.667,,,,,,,,0.0,4.0,,
18,194911100BOS,BOS,game,,Brady Walker,walkebr01,,2.0,,,,,,0.0,0.0,,,,,,,,,0.0,4.0,,
19,194911100BOS,BOS,game,,Ed Leede,leedeed01,,0.0,,,,,,3.0,3.0,1.0,,,,,,,,0.0,3.0,,
20,194911100BOS,BOS,game,,Dermie O'Connell,oconnde01,,1.0,,,,,,0.0,2.0,0.0,,,,,,,,1.0,2.0,,
21,194911100BOS,BOS,game,,Art Spector,spectar01,,1.0,,,,,,0.0,1.0,0.0,,,,,,,,2.0,2.0,,
22,194911100BOS,BOS,game,,Joe Mullaney,mullajo01,,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,
23,194912180MNL,BOS,game,,Sonny Hertzberg,hertzso01,,7.0,20.0,0.35,,,,4.0,4.0,1.0,,,,4.0,,,,3.0,18.0,,
24,194912180MNL,BOS,game,,Ed Leede,leedeed01,,3.0,8.0,0.375,,,,5.0,11.0,0.455,,,,5.0,,,,3.0,11.0,,
25,194912180MNL,BOS,game,,Bob Kinney,kinnebo01,,3.0,5.0,0.6,,,,3.0,4.0,0.75,,,,1.0,,,,6.0,9.0,,
26,194912180MNL,BOS,game,,Brady Walker,walkebr01,,4.0,10.0,0.4,,,,1.0,2.0,0.5,,,,2.0,,,,2.0,9.0,,
27,194912180MNL,BOS,game,,George Kaftan,kaftage01,,3.0,6.0,0.5,,,,1.0,1.0,1.0,,,,0.0,,,,0.0,7.0,,
