observation_date,ECOMPCTSA
10/1/99,0.6
1/1/00,0.8
4/1/00,0.9
7/1/00,1
10/1/00,1
1/1/01,1.1
4/1/01,1.1
7/1/01,1.1
10/1/01,1.2
1/1/02,1.3
4/1/02,1.4
7/1/02,1.5
10/1/02,1.5
1/1/03,1.6
4/1/03,1.7
7/1/03,1.8
10/1/03,1.9
1/1/04,2
4/1/04,2
7/1/04,2.1
10/1/04,2.2
1/1/05,2.3
4/1/05,2.4
7/1/05,2.5
10/1/05,2.6
1/1/06,2.7
4/1/06,2.8
7/1/06,3
10/1/06,3.1
1/1/07,3.2
4/1/07,3.4
7/1/07,3.5
10/1/07,3.5
1/1/08,3.6
4/1/08,3.6
7/1/08,3.6
10/1/08,3.6
1/1/09,3.8
4/1/09,4
7/1/09,4.1
10/1/09,4.1
1/1/10,4.2
4/1/10,4.4
7/1/10,4.6
10/1/10,4.6
1/1/11,4.7
4/1/11,4.8
7/1/11,4.9
10/1/11,5.1
1/1/12,5.2
4/1/12,5.3
7/1/12,5.5
10/1/12,5.6
1/1/13,5.6
4/1/13,5.8
7/1/13,5.9
10/1/13,6.1
1/1/14,6.2
4/1/14,6.3
7/1/14,6.5
10/1/14,6.6
1/1/15,6.9
4/1/15,7
7/1/15,7.2
10/1/15,7.5
1/1/16,7.7
4/1/16,7.8
7/1/16,8
10/1/16,8.2
1/1/17,8.4
4/1/17,8.7
7/1/17,8.9
10/1/17,9.1
1/1/18,9.4
4/1/18,9.5
7/1/18,9.7
10/1/18,9.9
1/1/19,10
4/1/19,10.3
7/1/19,10.7
10/1/19,11.2
1/1/20,11.9
4/1/20,16.4
7/1/20,14.8
10/1/20,15
1/1/21,14.8
4/1/21,14.6
7/1/21,14.5
10/1/21,14.5
1/1/22,14.3
4/1/22,14.2
7/1/22,14.4
10/1/22,14.6
1/1/23,14.9
4/1/23,15.3
7/1/23,15.4
10/1/23,15.6
1/1/24,15.8
4/1/24,16
7/1/24,16.3
10/1/24,16.4
