CD,Incumbent,Party,"Clinton
2016","Trump
2016","Obama
2012","Romney
2012","Obama
2008","McCain
2008",,Hispanic,White,Black,Native,Asian,Pacific,Other,Multiple,Total,
AK-AL,"Young, Don",(R),37.6,52.8,41.2,55.3,38.1,59.7,3.6,42832,457176,23790,98678,38688,7665,714,50773,720316,
AL-01,"Byrne, Bradley",(R),34.1,63.5,37.4,61.8,38.5,60.9,3.3,19787,451980,190107,6992,9528,65,270,8979,687708,
AL-02,"Roby, Martha",(R),33.0,64.9,36.4,62.9,35.0,64.5,3.4,24462,434218,203556,2354,7922,142,1211,11637,685502,
AL-03,"Rogers, Mike",(R),32.3,65.3,36.8,62.3,36.6,62.6,4.5,18776,476399,172551,1889,8455,204,421,8302,686997,
AL-04,"Aderholt, Rob",(R),17.4,80.4,24.0,74.8,25.5,73.3,6.6,40209,577799,45921,4588,3832,139,184,10569,683241,
AL-05,"Brooks, Mo",(R),31.3,64.7,34.9,63.9,36.3,62.6,3.6,33003,510101,116706,4577,11114,474,583,13437,689995,
AL-06,"Palmer, Gary",(R),26.1,70.8,24.7,74.3,25.0,74.1,-1.4,34491,536716,92699,1536,11722,48,797,6479,684488,
AL-07,"Sewell, Terri",(D),69.8,28.6,72.4,27.1,71.5,28.1,2.6,17566,218270,434123,1033,3856,169,1037,5292,681346,
AR-01,"Crawford, Rick",(R),30.2,65.0,36.3,61.0,39.2,58.0,6.1,21271,559001,131640,2390,3560,198,262,9492,727814,
AR-02,"Hill, French",(R),41.7,52.4,42.9,54.7,44.3,53.8,1.2,35675,517091,159344,2431,10298,173,892,12504,738408,
AR-03,"Womack, Steve",(R),30.5,61.9,31.6,65.5,33.9,63.7,1.1,96474,573324,19338,7808,18947,5161,1282,18304,740638,
AR-04,"Westerman, Bruce",(R),31.3,64.2,35.9,61.8,37.4,59.9,4.6,38844,526641,141777,3753,4655,121,216,10502,726509,
AZ-01,"O'Halleran, Tom",(D),46.6,47.7,47.9,50.4,47.8,51.0,1.3,146693,364671,15406,162863,10118,1508,525,13121,714905,
AZ-02,"McSally, Martha",(R),49.6,44.7,48.4,49.9,48.9,49.8,-1.2,187687,455694,26372,6419,20332,1252,893,16260,714909,
AZ-03,"Grijalva, Raul",(D),62.4,32.5,61.4,36.9,58.2,40.7,-1.0,437743,201643,30418,23964,10730,1050,714,7693,713955,
AZ-04,"Gosar, Paul",(R),27.5,67.7,31.0,67.2,34.4,64.2,3.5,134308,535137,12454,11949,6626,1156,542,12123,714295,
AZ-05,"Biggs, Andy",(R),36.5,57.6,34.6,63.8,36.3,62.6,-1.9,124089,529298,20735,6174,32284,1345,623,14668,729216,
AZ-06,"Schweikert, David",(R),42.4,52.4,38.8,59.5,41.2,57.7,-3.6,107582,546227,17795,10526,27765,472,885,13783,725035,
AZ-07,"Gallego, Ruben",(D),71.8,22.6,71.7,26.5,64.7,34.1,-0.1,462963,150628,64144,15144,15379,1578,1475,7664,718975,
AZ-08,,(R),37.0,58.1,36.9,61.7,38.4,60.6,-0.1,139196,514294,27552,5689,22011,797,743,14686,724968,
AZ-09,"Sinema, Kyrsten",(D),54.7,38.4,51.1,46.6,51.3,47.4,-3.6,195687,418455,37876,16176,33382,2660,1139,18070,723445,
CA-01,"LaMalfa, Doug",(R),36.5,56.2,40.3,56.6,42,53,3.8,87379,552905,9258,10395,17628,1655,505,23735,703460,
CA-02,"Huffman, Jared",(D),69.0,23.3,69.0,27.0,71,25,0.0,118342,512448,11154,13579,25052,1497,2132,20876,705080,
CA-03,"Garamendi, John",(D),53.0,40.4,54.3,43.1,55,42,1.3,196640,353563,42444,5445,73586,3743,2114,29411,706946,
CA-04,"McClintock, Tom",(R),39.3,54.0,39.5,57.9,43,54,0.2,87268,548407,8131,6811,29873,827,1056,21782,704155,
CA-05,"Thompson, Mike",(D),69.2,24.3,69.7,27.5,70,26,0.5,187690,371488,42866,4341,73493,3516,1104,25475,709973,
CA-06,"Matsui, Doris",(D),69.2,24.4,69.1,28.3,68,29,-0.1,191701,278985,85482,3715,106898,8004,2307,32766,709858,
CA-07,"Bera, Ami",(D),52.3,40.9,50.8,46.8,51,46,-1.5,118135,396952,52837,3514,100730,5930,1763,31647,711508,
CA-08,"Cook, Paul",(R),39.6,54.7,41.7,55.6,42,55,2.1,251777,347858,57043,6711,19758,2817,760,15005,701729,
CA-09,"McNerney, Jerry",(D),56.6,38.0,57.8,40.1,56,41,1.2,269173,260371,57801,3058,94850,3081,1060,24428,713822,
CA-10,"Denham, Jeff",(R),48.5,45.5,50.6,47.0,50,47,2.1,288463,324522,21260,3259,45099,4720,1036,19849,708208,
CA-11,"DeSaulnier, Mark",(D),71.5,22.7,67.6,30.0,69,28,-3.9,181358,344804,64163,1518,90264,3340,2067,26320,713834,
CA-12,"Pelosi, Nancy",(D),86.2,8.7,84.1,12.5,84,13,-2.1,102924,311969,40620,1678,222943,3126,3175,23298,709733,
CA-13,"Lee, Barbara",(D),87.4,6.8,87.5,9.0,87,10,0.1,150634,243106,133084,2083,148571,4046,2297,29800,713621,
CA-14,"Speier, Jackie",(D),76.9,18.2,74.2,23.6,73,24,-2.7,174717,260304,22246,1116,220939,10205,2855,24123,716505,
CA-15,"Swalwell, Eric",(D),69.9,24.2,68.0,29.8,67,30,-1.9,166737,261999,43596,2105,204949,7095,1905,27056,715442,
CA-16,"Costa, Jim",(D),58.0,36.4,58.6,39.4,57,40,0.6,412791,173723,40378,3408,64119,1583,840,10758,707600,
CA-17,"Khanna, Ro",(D),73.9,20.5,71.9,25.5,69,28,-2.0,125187,188195,18269,1628,354365,3638,2157,22421,715860,
CA-18,"Eshoo, Anna",(D),73.4,20.2,68.2,28.9,70,27,-5.2,123768,410579,13307,1606,139469,1161,1518,25883,717291,
CA-19,"Lofgren, Zoe",(D),72.9,21.5,71.2,26.5,68,29,-1.7,292474,189390,19826,1616,185764,2732,1135,18804,711741,
CA-20,"Panetta, Jimmy",(D),70.4,23.2,70.9,26.2,71,26,0.5,362963,275989,14629,1936,36252,2524,652,16292,711237,
CA-21,"Valadao, David",(R),55.2,39.7,54.6,43.5,52,46,-0.6,504539,131929,30347,3521,23454,664,1025,9452,704931,
CA-22,"Nunes, Devin",(R),42.6,52.1,41.6,56.6,42,55,-1.0,323561,300863,20271,3314,50195,936,1355,15016,715511,
CA-23,"McCarthy, Kevin",(R),36.1,58.1,36.1,61.5,36,61,0.0,258620,351799,41651,5875,32819,1006,1052,17223,710045,
CA-24,"Carbajal, Salud",(D),56.7,36.5,54.1,43.1,56,41,-2.6,244457,401722,12769,3166,30026,1097,967,15053,709257,
CA-25,"Knight, Steve",(R),50.3,43.6,47.8,49.7,49,48,-2.5,255589,317027,52339,1638,55211,1484,1516,22487,707291,
CA-26,"Brownley, Julia",(D),57.9,36.0,54.0,43.7,56,41,-3.9,309265,322566,11974,1740,45096,866,669,14997,707173,
CA-27,"Chu, Judy",(D),66.0,28.4,62.6,35.0,61,35,-3.4,190652,206614,31534,891,261498,1092,1907,15447,709635,
CA-28,"Schiff, Adam",(D),72.1,22.3,70.3,26.5,70,26,-1.8,186543,391351,16927,1538,91066,828,2018,17441,707712,
CA-29,"Cardenas, Tony",(D),77.7,16.8,77.0,20.5,74,23,-0.7,481456,128684,25512,1040,56495,880,1903,7758,703728,
CA-30,"Sherman, Brad",(D),69.1,25.7,65.3,32.1,66,31,-3.8,203716,374150,30933,1334,88294,1054,1155,22149,722785,
