,Population,Hispanic (Any Race),White (Non-Hispanic),Black (Non-Hispanic),Asian,Native American,# Black people killed,# Hispanic people killed,# Native American people killed,# Asian people killed,# Pacific Islanders killed,# White people killed,# Unknown Race people killed,# People Killed
Alabama,"4,874,747","201,970","3,191,450","1,302,295","65,494","22,209",52,,,1,,73,12,138
Alaska,"739,795","51,712","448,081","21,192","48,569","105,146",5,1,12,,,15,8,41
Arizona,"7,016,270","2,202,173","3,836,639","290,379","225,810","274,496",31,114,14,,,141,43,343
Arkansas,"3,004,279","223,764","2,173,307","455,500","46,583","16,901",28,3,,1,,59,12,103
California,"39,536,653","15,477,306","14,616,636","2,164,239","5,679,986","147,880",186,489,7,44,9,333,118,1186
Colorado,"5,607,154","1,206,724","3,822,055","219,500","176,176","32,102",22,67,5,4,,97,33,228
Connecticut,"3,588,184","578,833","2,393,694","354,320","162,564","7,486",7,6,,1,,19,3,36
Delaware,"961,939","89,540","597,917","206,690","38,404","2,344",9,,,,,8,3,20
District of Columbia,"693,972","76,526","253,416","314,705","28,056","1,574",23,,,,,1,2,26
Florida,"20,984,400","5,370,860","11,288,419","3,224,452","578,136","42,654",169,76,,6,,242,47,540
Georgia,"10,429,379","1,001,472","5,487,048","3,245,371","408,067","18,335",98,13,,3,,109,42,265
Hawaii,"1,427,538","150,125","310,584","22,629","532,881","1,659",1,4,,2,22,5,3,37
Idaho,"1,716,943","213,619","1,407,302","10,947","22,698","19,136",1,6,2,,,36,3,48
Illinois,"12,802,023","2,206,927","7,834,272","1,790,512","689,701","12,784",96,21,,1,,49,14,181
Indiana,"6,666,818","461,618","5,278,785","613,080","146,611","9,694",40,6,,,,70,8,124
Iowa,"3,145,711","185,746","2,701,250","103,989","80,937","7,825",6,2,,,,33,4,45
Kansas,"2,913,123","345,510","2,210,739","161,148","85,386","17,617",11,8,,,,49,7,75
Kentucky,"4,454,189","155,163","3,769,995","355,829","64,381","6,882",19,3,1,1,,86,12,122
Louisiana,"4,684,333","243,620","2,739,086","1,505,991","83,959","21,942",80,5,,4,,49,10,148
Maine,"1,335,907","21,899","1,247,090","15,761","15,141","8,225",1,,,,,27,3,31
Maryland,"6,052,177","612,709","3,066,146","1,776,692","389,297","11,879",80,6,,,,32,10,128
Massachusetts,"6,859,819","811,292","4,906,564","477,846","450,311","9,439",15,10,,1,,26,4,56
Michigan,"9,962,311","504,398","7,476,534","1,359,264","306,376","45,421",42,4,,2,1,56,18,123
Minnesota,"5,576,606","296,666","4,455,056","356,949","272,228","53,674",17,4,5,7,,50,1,84
Mississippi,"2,984,100","86,035","1,688,447","1,130,323","27,467","13,240",41,1,1,1,,51,13,108
Missouri,"6,113,532","255,803","4,854,821","694,270","123,227","21,332",74,5,,,2,93,23,197
Montana,"1,050,493","38,933","906,221","4,380","7,182","62,126",,1,5,,,28,6,40
Nebraska,"1,920,076","209,917","1,517,634","87,147","46,837","12,823",8,3,2,,,22,1,36
Nevada,"2,998,039","864,663","1,462,301","265,472","249,834","27,991",21,30,2,2,,57,9,121
New Hampshire,"1,342,795","50,393","1,212,790","18,023","35,602","1,500",,1,,,,16,,17
New Jersey,"9,005,644","1,840,433","4,939,479","1,148,321","882,064","9,074",51,14,,1,,26,11,103
New Mexico,"2,088,070","1,018,344","780,688","38,022","27,514","182,991",4,78,6,1,,41,12,142
New York,"19,849,399","3,811,654","10,936,578","2,846,481","1,718,948","41,752",71,18,,1,,53,12,155
North Carolina,"10,273,419","962,466","6,472,902","2,175,617","293,050","111,317",77,9,1,1,1,104,11,204
North Dakota,"755,393","26,479","637,291","22,830","12,699","40,745",,,4,,,7,,11
Ohio,"11,658,609","436,762","9,204,374","1,421,030","256,437","17,866",80,2,,4,,116,13,215
Oklahoma,"3,930,864","417,708","2,576,937","283,068","84,404","288,580",51,18,12,2,1,124,7,215
Oregon,"4,142,776","540,924","3,132,752","74,345","180,042","38,855",9,9,,,,87,8,113
Pennsylvania,"12,805,537","938,428","9,780,941","1,367,815","442,425","14,498",58,10,1,1,,78,23,171
Rhode Island,"1,059,639","163,346","763,670","57,196","37,798","3,134",3,1,,,,2,,6
South Carolina,"5,024,369","285,990","3,197,812","1,344,741","74,889","12,370",38,2,,2,,67,11,120
South Dakota,"869,666","31,278","715,927","16,345","10,612","74,563",,1,9,1,,11,3,25
Tennessee,"6,715,984","361,203","4,962,226","1,115,187","118,312","13,699",41,5,,2,,116,15,179
Texas,"28,304,596","11,158,751","11,855,092","3,330,204","1,344,963","71,859",157,219,1,10,,258,74,719
Utah,"3,101,833","434,290","2,428,495","35,689","74,530","30,073",8,13,2,,2,55,2,82
Vermont,"623,657","11,932","578,706","7,731","11,073","1,971",,1,1,,,9,1,12
Virginia,"8,470,020","790,662","5,226,540","1,595,039","539,382","20,568",52,7,,1,,51,13,124
Washington,"7,405,743","940,792","5,077,103","262,211","625,939","75,535",25,29,12,5,4,116,27,218
West Virginia,"1,815,857","22,807","1,670,509","71,358","13,695","2,391",10,,,1,,51,12,74
Wisconsin,"5,795,483","397,847","4,706,315","362,314","158,583","44,664",27,8,5,4,,63,4,111
Wyoming,"579,315","58,122","486,586","5,154","4,586","12,341",,2,2,,,12,3,19
Total,"325,719,178","58,846,134","197,285,202","40,129,593","17,999,846","2,145,162","1,945","1,335",112,118,42,"3,379",734,"7,665"
