,Population,Hispanic (Any Race),White (Non-Hispanic),Black (Non-Hispanic),# Black people killed,# Hispanic people killed,# White people killed,Other/Unknown,# People Killed
Alabama,"4,874,747","201,970","3,191,450","1,302,295",52,,73,13,138
Alaska,"739,795","51,712","448,081","21,192",5,1,15,20,41
Arizona,"7,016,270","2,202,173","3,836,639","290,379",31,114,141,57,343
Arkansas,"3,004,279","223,764","2,173,307","455,500",28,3,59,13,103
California,"39,536,653","15,477,306","14,616,636","2,164,239",186,489,333,178,1186
Colorado,"5,607,154","1,206,724","3,822,055","219,500",22,67,97,42,228
Connecticut,"3,588,184","578,833","2,393,694","354,320",7,6,19,4,36
Delaware,"961,939","89,540","597,917","206,690",9,,8,3,20
District of Columbia,"693,972","76,526","253,416","314,705",23,,1,2,26
Florida,"20,984,400","5,370,860","11,288,419","3,224,452",169,76,242,53,540
Georgia,"10,429,379","1,001,472","5,487,048","3,245,371",98,13,109,45,265
Hawaii,"1,427,538","150,125","310,584","22,629",1,4,5,27,37
Idaho,"1,716,943","213,619","1,407,302","10,947",1,6,36,5,48
Illinois,"12,802,023","2,206,927","7,834,272","1,790,512",96,21,49,15,181
Indiana,"6,666,818","461,618","5,278,785","613,080",40,6,70,8,124
Iowa,"3,145,711","185,746","2,701,250","103,989",6,2,33,4,45
Kansas,"2,913,123","345,510","2,210,739","161,148",11,8,49,7,75
Kentucky,"4,454,189","155,163","3,769,995","355,829",19,3,86,14,122
Louisiana,"4,684,333","243,620","2,739,086","1,505,991",80,5,49,14,148
Maine,"1,335,907","21,899","1,247,090","15,761",1,,27,3,31
Maryland,"6,052,177","612,709","3,066,146","1,776,692",80,6,32,10,128
Massachusetts,"6,859,819","811,292","4,906,564","477,846",15,10,26,5,56
Michigan,"9,962,311","504,398","7,476,534","1,359,264",42,4,56,21,123
Minnesota,"5,576,606","296,666","4,455,056","356,949",17,4,50,13,84
Mississippi,"2,984,100","86,035","1,688,447","1,130,323",41,1,51,15,108
Missouri,"6,113,532","255,803","4,854,821","694,270",74,5,93,25,197
Montana,"1,050,493","38,933","906,221","4,380",,1,28,11,40
Nebraska,"1,920,076","209,917","1,517,634","87,147",8,3,22,3,36
Nevada,"2,998,039","864,663","1,462,301","265,472",21,30,57,13,121
New Hampshire,"1,342,795","50,393","1,212,790","18,023",,1,16,0,17
New Jersey,"9,005,644","1,840,433","4,939,479","1,148,321",51,14,26,12,103
New Mexico,"2,088,070","1,018,344","780,688","38,022",4,78,41,19,142
New York,"19,849,399","3,811,654","10,936,578","2,846,481",71,18,53,13,155
North Carolina,"10,273,419","962,466","6,472,902","2,175,617",77,9,104,14,204
North Dakota,"755,393","26,479","637,291","22,830",,,7,4,11
Ohio,"11,658,609","436,762","9,204,374","1,421,030",80,2,116,17,215
Oklahoma,"3,930,864","417,708","2,576,937","283,068",51,18,124,22,215
Oregon,"4,142,776","540,924","3,132,752","74,345",9,9,87,8,113
Pennsylvania,"12,805,537","938,428","9,780,941","1,367,815",58,10,78,25,171
Rhode Island,"1,059,639","163,346","763,670","57,196",3,1,2,0,6
South Carolina,"5,024,369","285,990","3,197,812","1,344,741",38,2,67,13,120
South Dakota,"869,666","31,278","715,927","16,345",,1,11,13,25
Tennessee,"6,715,984","361,203","4,962,226","1,115,187",41,5,116,17,179
Texas,"28,304,596","11,158,751","11,855,092","3,330,204",157,219,258,85,719
Utah,"3,101,833","434,290","2,428,495","35,689",8,13,55,6,82
Vermont,"623,657","11,932","578,706","7,731",,1,9,2,12
Virginia,"8,470,020","790,662","5,226,540","1,595,039",52,7,51,14,124
Washington,"7,405,743","940,792","5,077,103","262,211",25,29,116,48,218
West Virginia,"1,815,857","22,807","1,670,509","71,358",10,,51,13,74
Wisconsin,"5,795,483","397,847","4,706,315","362,314",27,8,63,13,111
Wyoming,"579,315","58,122","486,586","5,154",,2,12,5,19
Total,"325,719,178","58,846,134","197,285,202","40,129,593","1,945","1,335","3,379",1006,"7,665"
