EnrStatus,Department,Year,YOG,Grade,CrsNo,Description,SecNo,T1AttTrmGr,T1Grd,T2AttTrmGr,T2Grd,T3AttTrmGr,T3Grd,T4AttTrmGr,T4Grd,Exam,FG,Credit,Credit.1,PotentialCredit,Term,TeacherNum
W07,,2007,2010,9,5101,Algebra 1  I,,,,,,,,,,,B,5,5,,,1
W07,,2008,2010,10,5161,Math 1  I,,,,,,,,,,,N,5,0,,,1
W07,,2015,2018,9,5411,Math 1  CP,,,,,,,,,A-,B-,B+,5,5,,,1
W07,,2015,2018,9,5711,Mathematics 9 CP,,,B+,,A,,B+,,,,,5,,,,1
W07,,2016,2018,10,5421,Math 2  CP,1,,A-,,A-,,B,,B+,C-,B,5,5,,FY,2
W07,,2017,2018,11,5431,Math 3  CP,2,,B+,,A-,,B+,,B,C-,B,5,5,,FY,1
W07,MAT,2018,2018,12,5441,Topics in Pre-Calculus CP,1,,C+,,C-,,D,,C,,C-,5,5,,FY,3
W07,,2011,2015,9,5111,Mathematics 1 Acc,,,B,,C+,,C-,,C-,A,C+,5,5,,,1
W07,,2012,2015,10,5121,Math 2 ACP Acc,,,B,,B-,,B+,,B,A-,B+,5,5,,,1
W07,,2013,2015,11,5131,Math 3 ACP Acc,,,B,,B+,,B,,A,A,A-,5,5,,,1
W07,,2014,2015,12,5081,AP Calculus 4 AB,,,A-,,B,,B,,C+,,B,5,5,,,1
Active,MAT,2023,2026,9,5011,Math 1 H,2,,,Y,A,Y,A,Y,A,B+,A,12,12,,FY,4
Active,MAT,2023,2026,9,5012,Math 1 Accelerated/Honors,2,Y,A,,,,,,,,,12,,,FY,4
W07,,2007,2010,9,5011,Honors Math 1,,,,,,,,,,,B+,5,5,,,1
W07,,2008,2010,10,5021,Honors Math 2,,,,,,,,,,,A,5,5,,,1
W07,,2009,2010,11,5031,Honors Math 3,,,,,,,,,,,A-,5,5,,,1
W07,,2010,2010,12,5041,AP Calculus 4 BC,,,B+,,B+,,B+,,A,,A-,5,5,,,1
W07,,2007,2010,9,5111,Mathematics 1 Acc,,,,,,,,,,,B,5,5,,,1
W07,,2008,2010,10,5121,Mathematics 2 Acc,,,,,,,,,,,C+,5,5,,,1
W07,,2009,2010,11,5131,Mathematics 3 Acc,,,,,,,,,,,C+,5,5,,,1
W07,,2010,2010,12,5141,Introduction to Calculus Acc A,,,B,,B+,,C-,,C-,,C+,5,5,,,1
W07,MAT,2019,2022,9,5011,Math 1 H,1,,A,,A,,A,,A-,A,A,5,5,,FY,5
W07,MAT,2020,2022,10,5021,Math 2 H,8,,A,,A,,P,,,,A,5,5,,FY,6
W07,MAT,2021,2022,11,5031,Math 3 (Pre-Calculus) H,6,,A,,A,,A,0,A,,A,5,5,,FY,7
W07,MAT,2022,2022,12,5041,AP Calculus 4 BC,2,,A,,A,,A,,A,,A,5,5,,FY,6
W07,,2009,2012,9,5111,Mathematics 1 Acc,,,,,,,,,,,B,5,5,,,1
W07,,2010,2012,10,5121,Mathematics 2 Acc,,,B-,,B+,,B+,,B+,C,B,5,5,,,1
W07,,2011,2012,11,5131,Mathematics 3 Acc,,,B+,,B,,B,,A,B,B+,5,5,,,1
W07,,2012,2012,12,5141,Intro to Calculus ACP Acc,,,A-,,A,,A,,A,,A,5,5,,,1
W07,,2013,2016,9,5161,Math 1 ACP,,,A-,,B,,B,,C,B-,B-,5,5,,,1
W07,,2014,2016,10,5171,Math 2 ACP,,,A-,,A-,,A-,,B+,A-,A-,5,5,,,1
W07,,2015,2016,11,5181,Math 3 ACP,,,A,,C,,B,,B-,C-,B-,5,5,,,1
W07,,2016,2016,12,5191,Pre-Calculus ACP,2,,C+,,C+,,C-,,D+,,C,5,5,,FY,8
W07,,2017,2020,9,5011,Math 1 H,1,,A,,A,,A-,,A,C+,A-,5,5,,FY,9
W07,MAT,2018,2020,10,5021,Math 2 H,2,,A,,A-,,A-,,A,A,A-,5,5,,FY,6
W07,MAT,2019,2020,11,5031,Math 3 (Pre-Calculus) H,2,,A-,,A,,B,,A,A-,A-,5,5,,FY,7
W07,MAT,2020,2020,12,5081,AP Calculus 4 AB,3,,A,,A,,P,,,,A,5,5,,FY,10
W07,,2009,2012,9,5011,Honors Math 1,,,,,,,,,,,C,5,5,,,1
W07,,2010,2012,10,5021,Honors Math 2,,,C+,,B-,,B+,,B,C-,B-,5,5,,,1
W07,,2011,2012,11,5031,Honors Math 3,,,A,,B+,,A,,A-,B,A-,5,5,,,1
W07,,2012,2012,12,5041,AP Calculus 4 BC,,,B+,,B+,,B,,B,,B,5,5,,,1
Active,MAT,2021,2024,9,5011,Math 1 H,5,,A,,A,,A,,A,,A,5,12,,FY,11
Active,MAT,2022,2024,10,5021,Math 2 H,9,,A-,,A,,A-,,A,,A,5,12,,FY,12
Active,MAT,2023,2024,11,5031,Math 3 (Pre-Calculus) H,2,Y,A,Y,A-,Y,A,Y,A,A,A,12,12,,FY,13
W07,,2012,2016,9,5111,Math 1 ACP Acc,,,A-,,B+,,B+,,A,C+,B+,5,5,,,1
W07,,2013,2016,10,5121,Math 2 ACP Acc,,,C+,,B-,,B,,C+,C,B-,5,5,,,1
W07,,2014,2016,11,5181,Math 3 ACP,,,C+,,A,,A-,,A-,C+,A-,5,5,,,1
W07,,2015,2016,12,5191,Pre-Calculus ACP,,,A,,A,,B+,,B,,A-,5,5,,,1
W07,,2008,2010,10,5021,Honors Math 2,,,,,,,,,,,B,5,5,,,1
W07,,2009,2010,11,5031,Honors Math 3,,,,,,,,,,,B,5,5,,,1
W07,,2010,2010,12,5041,AP Calculus 4 BC,,,B,,B-,,B,,B-,,B,5,5,,,1
