Index,Name3,Team,Salary
454,A.J. Lawson,Dallas Mavericks,1000000
65,Aaron Gordon,Denver Nuggets,22266182
379,Aaron Holiday,Houston Rockets,2019706
222,Aaron Nesmith,Indiana Pacers,5634257
418,Aaron Wiggins,Oklahoma City Thunder,1836096
424,AJ Green,Milwaukee Bucks,1801769
273,AJ Griffin,Atlanta Hawks,3712920
153,Al Horford,Boston Celtics,10000000
149,Alec Burks,New York Knicks,10489600
464,Aleksej Pokusevski,Charlotte Hornets,565176
163,Alex Caruso,Chicago Bulls,9460000
357,Alex Len,Sacramento Kings,2019760
276,Alperen Sengun,Houston Rockets,3536280
173,Amen Thompson,Houston Rockets,8809320
275,Amir Coffey,LA Clippers,3666667
280,Andre Drummond,Chicago Bulls,3360000
446,Andre Jackson Jr.,Milwaukee Bucks,1119563
350,Andrew Nembhard,Indiana Pacers,2131905
58,Andrew Wiggins,Golden State Warriors,24330357
59,Anfernee Simons,Portland Trail Blazers,24107143
195,Anthony Black,Orlando Magic,7245480
15,Anthony Davis,Los Angeles Lakers,40600080
168,Anthony Edwards,Minnesota Timberwolves,9219512
397,Anthony Gill,Washington Wizards,1997239
184,Ausar Thompson,Detroit Pistons,7977480
128,Austin Reaves,Los Angeles Lakers,12015150
205,Ayo Dosunmu,Chicago Bulls,6481481
38,Bam Adebayo,Miami Heat,32600060
316,Ben Sheppard,Indiana Pacers,2537160
20,Ben Simmons,Brooklyn Nets,37893408
197,Bennedict Mathurin,Indiana Pacers,6916080
201,Bilal Coulibaly,Washington Wizards,6614280
459,Bismack Biyombo,Oklahoma City Thunder,754488
320,Blake Wesley,San Antonio Spurs,2504640
381,Boban Marjanovic,Houston Rockets,2019706
132,Bobby Portis,Milwaukee Bucks,11710818
81,Bogdan Bogdanovic,Atlanta Hawks,18700000
74,Bojan Bogdanovic,New York Knicks,20000000
369,Bol Bol,Phoenix Suns,2019706
338,Bones Hyland,LA Clippers,2306400
6,Bradley Beal,Phoenix Suns,46741590
282,Brandin Podziemski,Golden State Warriors,3352440
420,Brandon Boston Jr.,LA Clippers,1836096
118,Brandon Clarke,Memphis Grizzlies,12500000
33,Brandon Ingram,New Orleans Pelicans,33833400
145,Brandon Miller,Charlotte Hornets,10880400
323,Brice Sensabaugh,Utah Jazz,2448600
56,Brook Lopez,Milwaukee Bucks,25000000
67,Bruce Brown,Toronto Raptors,22000000
314,Bruno Fernando,Atlanta Hawks,2581522
431,Bryce McGowens,Charlotte Hornets,1719865
78,Buddy Hield,Philadelphia 76ers,19279841
137,Cade Cunningham,Detroit Pistons,11055240
395,Caleb Houstan,Orlando Magic,2000000
199,Caleb Martin,Miami Heat,6802950
348,Cam Reddish,Los Angeles Lakers,2165000
340,Cam Thomas,Brooklyn Nets,2240160
284,Cam Whitmore,Houston Rockets,3218160
53,Cameron Johnson,Brooklyn Nets,25679348
203,Cameron Payne,Philadelphia 76ers,6500000
106,Caris LeVert,Cleveland Cavaliers,15384616
412,Carlik Jones,Chicago Bulls,1922896
230,Cason Wallace,Oklahoma City Thunder,5291000
200,Cedi Osman,San Antonio Spurs,6718842
311,Charles Bassey,San Antonio Spurs,2600000
150,Chet Holmgren,Oklahoma City Thunder,10386000
383,Chimezie Metu,Detroit Pistons,2019706
130,Chris Boucher,Toronto Raptors,11750000
257,Chris Duarte,Sacramento Kings,4124400
445,Chris Livingston,Milwaukee Bucks,1119563
43,Chris Paul,Golden State Warriors,30800000
296,Christian Braun,Denver Nuggets,2949120
307,Christian Wood,Los Angeles Lakers,2709849
