District,% Remote Learning Requested ,Economic Need Index,Borough
1,36,67,Manhattan
2,33,53,Manhattan
3,26,49,Manhattan
4,32,83,Manhattan
5,26,83,Manhattan
6,27,83,Manhattan
7,24,92,Bronx
8,31,83,Bronx
9,25,93,Bronx
10,29,84,Bronx
11,28,79,Bronx
12,24,93,Bronx
13,34,61,Brooklyn
14,31,75,Brooklyn
15,29,57,Brooklyn
16,26,83,Brooklyn
17,28,77,Brooklyn
18,27,74,Brooklyn
19,29,87,Brooklyn
20,40,77,Brooklyn
21,32,74,Brooklyn
22,32,65,Brooklyn
23,26,88,Brooklyn
24,28,73,Queens
25,39,64,Queens
26,40,49,Queens
27,33,69,Queens
28,34,62,Queens
29,32,64,Queens
30,28,68,Queens
31,25,53,Staten Island
32,24,87,Brooklyn
75,30,89,Manhattan
