District,% Remote Learning Requested,Total Enrollment,% Female,% Male,% Asian,% Black,% Hispanic,% Multiple Race Categories Not Represented,% White,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
1,0.49,11376,0.48,0.52,0.21,0.15,0.41,0.04,0.18,0.22,0.08,0.63,0.65
2,0.44,62973,0.52,0.48,0.22,0.14,0.32,0.05,0.26,0.17,0.08,0.52,0.52
3,0.36,22577,0.54,0.46,0.09,0.21,0.32,0.06,0.33,0.18,0.05,0.48,0.48
4,0.44,13038,0.51,0.49,0.09,0.24,0.6,0.03,0.05,0.24,0.1,0.8,0.82
5,0.37,11236,0.47,0.53,0.03,0.49,0.39,0.03,0.06,0.24,0.08,0.81,0.82
6,0.41,21924,0.49,0.51,0.02,0.07,0.85,0.01,0.06,0.2,0.27,0.85,0.83
7,0.37,19359,0.47,0.53,0.01,0.26,0.7,0.01,0.02,0.24,0.16,0.91,0.91
8,0.45,28039,0.49,0.51,0.06,0.21,0.65,0.02,0.06,0.23,0.14,0.82,0.82
9,0.39,34180,0.5,0.5,0.01,0.28,0.69,0.01,0.01,0.22,0.22,0.91,0.92
10,0.44,54925,0.49,0.51,0.08,0.15,0.7,0.02,0.06,0.2,0.21,0.82,0.82
11,0.42,39666,0.47,0.53,0.09,0.38,0.42,0.02,0.09,0.2,0.12,0.77,0.76
12,0.37,21955,0.49,0.51,0.03,0.24,0.7,0.02,0.02,0.23,0.2,0.91,0.92
13,0.47,21772,0.47,0.53,0.21,0.42,0.17,0.04,0.17,0.14,0.04,0.64,0.6
14,0.45,18510,0.48,0.52,0.05,0.2,0.57,0.02,0.16,0.2,0.11,0.71,0.74
15,0.38,33220,0.51,0.49,0.16,0.14,0.36,0.04,0.31,0.19,0.14,0.55,0.56
16,0.36,6745,0.48,0.52,0.02,0.73,0.2,0.02,0.03,0.24,0.05,0.82,0.83
17,0.42,21984,0.5,0.5,0.03,0.74,0.16,0.03,0.04,0.18,0.1,0.79,0.76
18,0.42,15006,0.48,0.52,0.02,0.84,0.08,0.02,0.04,0.19,0.07,0.76,0.7
19,0.43,22174,0.48,0.52,0.08,0.43,0.45,0.02,0.02,0.21,0.14,0.87,0.86
20,0.5,53980,0.48,0.52,0.44,0.03,0.27,0.01,0.26,0.15,0.22,0.75,0.74
21,0.42,37136,0.48,0.52,0.26,0.14,0.25,0.02,0.34,0.18,0.17,0.71,0.72
22,0.44,35570,0.5,0.5,0.21,0.29,0.15,0.02,0.32,0.17,0.12,0.69,0.63
23,0.36,9290,0.46,0.54,0.01,0.74,0.21,0.02,0.01,0.24,0.05,0.89,0.88
24,0.36,59578,0.47,0.53,0.2,0.03,0.63,0.01,0.13,0.17,0.21,0.75,0.71
25,0.52,39037,0.49,0.51,0.49,0.07,0.29,0.02,0.12,0.14,0.18,0.67,0.61
26,0.56,32678,0.49,0.51,0.53,0.11,0.17,0.03,0.16,0.14,0.08,0.56,0.45
27,0.45,45146,0.48,0.52,0.23,0.22,0.39,0.06,0.1,0.17,0.11,0.74,0.67
28,0.48,42379,0.49,0.51,0.3,0.2,0.28,0.06,0.16,0.15,0.11,0.68,0.6
29,0.46,26894,0.48,0.52,0.16,0.61,0.16,0.05,0.02,0.16,0.09,0.71,0.61
30,0.39,40730,0.49,0.51,0.22,0.06,0.53,0.03,0.17,0.15,0.16,0.69,0.67
31,0.33,62265,0.49,0.51,0.11,0.12,0.29,0.03,0.45,0.24,0.06,0.57,0.51
32,0.35,11029,0.49,0.51,0.02,0.17,0.78,0.01,0.02,0.21,0.18,0.88,0.86
75,0.38,25479,0.27,0.73,0.09,0.35,0.4,0.03,0.13,0.98,0.23,0.85,0.88
79,0.04,5100,0.35,0.65,0.1,0.37,0.44,0.02,0.06,0.17,0.14,0.7,0.85
