Option1,Option2,Start,Winner,VotesW,SoloW,TeamW,Loser,VotesL,SoloW,TeamW,Score,Location,System,ID
 Rock,  Pop,2017-07-15 08:00 UTC,Rock,52%,48%,51%,Pop,48%,52%,49%,1-Feb,Japan,Original,
  Mayo,  Ketchup,2017-08-04 06:00 UTC,Mayo,56.01%,50.60%,48.96%,Ketchup,43.99%,49.40%,51.04%,1-Feb,Japan,Original,#1051
  Fries,  McNuggets,2017-09-09 06:00 UTC,McNuggets,28.58%,50.10%,50.39%,Fries,71.42%,49.90%,49.61%,1-Feb,Japan,Original,#1052
  Dexterity,  Tenacity,2017-10-14 04:00 UTC,Tenacity,35.22%,51.32%,51.32%,Dexterity,64.78%,48.68%,48.68%,1-Feb,Japan,Original,#1054
  With Lemon,  Without Lemon,2017-11-11 06:00 UTC,Without Lemon,46.41%,50.11%,50.09%,With Lemon,53.59%,49.89%,49.91%,1-Feb,Japan,Original,#1055
  Warm Innerwear,  Warm Outerwear,2017-12-09 06:00 UTC,Warm Outerwear,56.77%,49.65%,50.20%,Warm Innerwear,43.23%,50.35%,49.80%,1-Feb,Japan,Original,#1056
  Action,  Comedy,2018-01-13 06:00 UTC,Comedy,42.18%,51.33%,51.34%,Action,57.82%,48.67%,48.66%,1-Feb,Japan,Original,#4051
  The Champion,  The Challenger,2018-02-03 06:00 UTC,The Challenger,59.25%,50.77%,49.91%,The Champion,40.75%,49.23%,50.09%,1-Feb,Japan,Original,
Flowers,  Dumplings,2018-03-03 06:00 UTC,Flowers,42.60%,51.49%,51.71%,Dumplings,57.40%,48.51%,48.29%,1-Feb,Japan,Original,
  Newest Model,  Most Popular Model,2018-03-24 06:00 UTC,Most Popular Model,40.05%,50.15%,50.20%,Newest Model,59.95%,49.85%,49.80%,1-Feb,Japan,Original,
  New Life-Forms,  Advanced Technology,2018-04-21 06:00 UTC,Advanced Technology,54.15%,50.17%,52.25%,New Life-Forms,45.85%,49.83%,47.75%,1-Mar,Japan,Original,
  Hello Kitty,  Cinnamoroll,2018-05-19 06:00 UTC,Hello Kitty,39.24%,50.96%,54.39%,Cinnamoroll,60.76%,49.04%,45.61%,1-Feb,Japan,Original,
  My Melody,  Pompompurin,2018-05-26 06:00 UTC,My Melody,47.66%,50.31%,51.09%,Pompompurin,52.34%,49.69%,48.91%,1-Feb,Japan,Original,
  Hello Kitty,  My Melody,2018-06-09 06:00 UTC,My Melody,38.60%,50.41%,50.93%,Hello Kitty,61.40%,49.59%,49.07%,1-Feb,Japan,Original,
  Squid,  Octopus,2018-07-21 06:00 UTC,Squid,44.04%,51.66%,52.94%,Octopus,55.96%,48.34%,47.06%,1-Feb,Japan,Original,
  Chocorooms,  Chococones,2018-08-18 06:00 UTC,Chocorooms,39.87%,50.28%,50.21%,Chococones,60.13%,49.72%,49.79%,1-Feb,Japan,Original,
Tsubuan,  Koshian,2018-09-23 06:00 UTC,Koshian,58.41%,50.27%,50.16%,Tsubuan,41.59%,49.73%,49.84%,1-Mar,Japan,New,
  Trick,  Treat,2018-10-19 08:00 UTC,Treat,43.15%,50.11%,52.45%,Trick,56.85%,49.89%,47.55%,1-Feb,Japan,New,
  Pocky Chocolate,  Pocky Gokuboso,2018-11-10 06:00 UTC,Pocky Gokuboso,58.41%,50.27%,49.11%,Pocky Chocolate,41.59%,49.73%,50.89%,1-Feb,Japan,New,
  Hero,  Villain,2018-12-15 06:00 UTC,Villain,37.11%,52.21%,53.51%,Hero,62.89%,47.79%,46.49%,1-Feb,Japan,New,
  Family,  Friends,2018-01-04 08:00 UTC,Friends,37.73%,51.99%,52.83%,Family,62.27%,48.01%,47.17%,1-Feb,Japan,New,
  Airhead,  Wisecracker,2018-02-02 06:00 UTC,Airhead,45.08%,50.38%,50.74%,Wisecracker,54.92%,49.62%,49.26%,1-Feb,Japan,New,
  Knight,  Wizard,2019-03-16 06:00 UTC,Wizard,62.68%,50.27%,49.70%,Knight,37.32%,49.73%,50.30%,1-Feb,Japan,New,
  Hare,  Tortoise,2019-04-19 08:00 UTC,Hare,43.79%,52.11%,50.61%,Tortoise,56.21%,47.89%,49.39%,1-Feb,Japan,New,
  Ce League,  Pa League,2019-05-11 06:00 UTC,Pa League,44.61%,51.31%,51.64%,Ce League,55.39%,48.69%,48.36%,1-Feb,Japan,New,
  No Pineapple,  Pineapple,2019-06-15 06:00 UTC,No Pineapple,59.69%,50.16%,50.11%,Pineapple,40.31%,49.84%,49.89%,1-Mar,Japan,New,
 Chaos,  Order,2019-07-18 12:00 UTC,Chaos,58.05%,51.39%,50.34%,Order,41.95%,48.61%,49.66%,1-Mar,Japan,New,
  Mayo,  Ketchup,2020-05-22 22:00 UTC,Ketchup,55.25%,48.29%,50.38%,Mayo,44.75%,51.71%,49.62%,1-Feb,Japan,New,
  Chicken,  Egg,2020-08-21 22:00 UTC,Chicken,41.92%,52.46%,52.65%,Egg,58.08%,47.54%,47.35%,1-Feb,Japan,New,
  Trick,  Treat,2020-10-30 22:00 UTC,Treat,41.64%,50.57%,52.80%,Trick,58.36%,49.43%,47.20%,1-Feb,Japan,New,
  Super Mushroom,  Super Star,2021-01-15 22:00 UTC,Super Mushroom,31.80%,53.41%,54.12%,Super Star,68.20%,46.59%,45.88%,1-Feb,Japan,New,
 Cake,  Ice Cream,2017-07-15 22:00 UTC,Ice Cream,76%,51%,47%,Cake,24%,49%,53%,1-Feb,NAA,Original,
  Mayo,  Ketchup,2017-08-05 04:00 UTC,Mayo,26.85%,51.83%,51.39%,Ketchup,73.15%,48.17%,48.61%,1-Feb,NAA,Original,#2050
  Flight,  Invisibility,2017-09-02 04:00 UTC,Flight,49.26%,55.31%,52.24%,Invisibility,50.74%,44.69%,47.76%,1-Feb,NAA,Original,#5051
  Vampire,  Werewolf,2017-10-14 04:00 UTC,Vampire,53.56%,50.91%,52.37%,Werewolf,46.44%,49.09%,47.63%,1-Mar,NAA,Original,#2051
  Sci-Fi,  Fantasy,2017-11-18 05:00 UTC,Fantasy,57.22%,50.31%,49.80%,Sci-Fi,42.78%,49.69%,50.20%,1-Feb,NAA,Original,#2052
  Sweater,  Socks,2017-12-16 05:00 UTC,Sweater,54.27%,50.94%,52.22%,Socks,45.73%,49.06%,47.78%,1-Mar,NAA,Original,#2053
  Action,  Comedy,2018-01-13 04:00 UTC,Comedy,42.18%,51.33%,51.34%,Action,57.82%,48.67%,48.66%,1-Feb,NAA,Original,#4051
  Money,  Love,2018-02-17 05:00 UTC,Love,67.87%,50.64%,48.72%,Money,32.13%,49.36%,51.28%,1-Feb,NAA,Original,
Chicken,  Egg,2018-03-10 04:00 UTC,Chicken,41.30%,52.66%,56.30%,Egg,58.70%,47.34%,43.70%,1-Feb,NAA,Original,
  Baseball,  Soccer,2018-04-07 04:00 UTC,Baseball,40.01%,50.81%,50.95%,Soccer,59.99%,49.19%,49.05%,1-Feb,NAA,Original,
  Raph,  Leo,2018-05-05 04:00 UTC,Raph,42.23%,51.82%,55.86%,Leo,57.77%,48.18%,44.14%,1-Feb,NAA,Original,
  Mikey,  Donnie,2018-05-12 04:00 UTC,Donnie,44.15%,52.36%,54.82%,Mikey,55.85%,47.64%,45.18%,1-Feb,NAA,Original,
  Raph,  Donnie,2018-05-19 04:00 UTC,Donnie,46.98%,51.89%,50.98%,Raph,53.02%,48.11%,49.02%,1-Feb,NAA,Original,
  Pulp,  No Pulp,2018-06-23 04:00 UTC,Pulp,32.65%,50.62%,52.61%,No Pulp,67.35%,49.38%,47.39%,1-Feb,NAA,Original,
  Squid,  Octopus,2018-07-21 04:00 UTC,Squid,44.04%,51.66%,52.94%,Octopus,55.96%,48.34%,47.06%,1-Feb,NAA,Original,
  Fork,  Spoon,2018-08-25 04:00 UTC,Fork,46.80%,51.62%,50.31%,Spoon,53.20%,48.38%,49.69%,1-Feb,NAA,Original,
Retro,  Modern,2018-09-22 04:00 UTC,Modern,68.83%,51.23%,51.79%,Retro,31.17%,48.77%,48.21%,1-Mar,NAA,New,
  Trick,  Treat,2018-10-19 22:00 UTC,Treat,43.15%,50.11%,52.45%,Trick,56.85%,49.89%,47.55%,1-Feb,NAA,New,
  Salsa,  Guacamole,2018-11-17 04:00 UTC,Salsa,57.12%,52.47%,54.00%,Guacamole,42.88%,47.53%,46%,1-Mar,NAA,New,
  Hero,  Villain,2018-12-15 04:00 UTC,Villain,37.11%,52.21%,53.51%,Hero,62.89%,47.79%,46.49%,1-Feb,NAA,New,
  Family,  Friends,2019-01-04 22:00 UTC,Friends,37.73%,51.99%,52.83%,Family,62.27%,48.01%,47.17%,1-Feb,NAA,New,
  Pancakes,  Waffles,2019-02-09 04:00 UTC,Waffles,51.31%,51.34%,51.41%,Pancakes,48.69%,48.66%,48.59%,1-Mar,NAA,New,
  Knight,  Wizard,2019-03-16 04:00 UTC,Wizard,62.68%,50.27%,49.70%,Knight,37.32%,49.73%,50.30%,1-Feb,NAA,New,
  Hare,  Tortoise,2019-04-19 21:00 UTC,Hare,43.79%,52.11%,50.61%,Tortoise,56.21%,47.89%,49.39%,1-Feb,NAA,New,
