ID,Team Alpha,Team Bravo,Region,Participants_Al,Participants_Br,Solo_Wins_Al,Solo_Wins_Br,Team_Wins_Al,Team_Wins_Br
#1051,Mayo,Ketchup,JP,"497,492","390,757","1,152,215","1,124,982","64,828","67,589"
#2050,Mayo,Ketchup,NA/OC,"111,201","302,949","247,150","229,730","6,214","5,877"
#3050,Mayo,Ketchup,EU,"70,625","136,877","129,709","125,893","1,653","1,607"
#1052,Fries,McNuggets,JP,"759,521","303,872","893,956","897,405","51,411","52,210"
#5051,Flight,Invisibility,NA/OC + EU,"251,852","259,390","458,822","370,747","14,371","13,136"
#1054,Dexterity,Tenacity,JP,"678,455","368,871","1,040,153","1,096,688","111,796","117,850"
#2051,Vampire,Werewolf,NA/OC,"138,277","119,884","198,427","191,314","8,167","7,429"
#3051,Front Roll,Back Roll,EU,"109,926","42,074","52,294","46,181",381,430
#1055,With Lemon,Without Lemon,JP,"543,132","470,423","1,237,673","1,243,211","117,794","118,211"
#2052,Sci-Fi,Fantasy,NA/OC,"87,894","117,562","133,575","135,227","6,541","6,490"
#3052,Warm Breakfast,Cold Breakfast,EU,"70,192","61,047","79,575","79,144","2,123","2,151"
#1056,Warm Innerwear,Warm Outerwear,JP,"457,476","600,535","1,180,248","1,163,838","133,079","134,173"
#2053,Sweater,Socks,NA/OC,"118,157","99,550","155,993","150,261","7,107","6,504"
#3053,Film,Book,EU,"99,423","32,201","43,780","46,416","1,170","1,023"
#4051,Action,Comedy,All regions,"1,199,976","875,431","1,961,387","2,068,568","171,311","180,720"
