County FIPS,County Name,State Name,5 digit 2024 jobs,6 digit 2024 jobs,Total,Share
48201,Harris,Texas,4,"32,945","32,949",1.4%
26163,Wayne,Michigan,"25,336",357,"25,693",3.6%
6001,Alameda,California,"24,971",123,"25,094",3.2%
21111,Jefferson,Kentucky,"11,933",925,"12,858",2.7%
18039,Elkhart,Indiana,83,"11,537","11,619",9.0%
26099,Macomb,Michigan,"11,337",130,"11,468",3.4%
47149,Rutherford,Tennessee,"11,025",427,"11,452",7.8%
21209,Scott,Kentucky,"9,571",92,"9,664",30.9%
29047,Clay,Missouri,"9,259",171,"9,430",8.5%
45083,Spartanburg,South Carolina,"8,993",152,"9,145",5.9%
18157,Tippecanoe,Indiana,"6,902","2,209","9,112",9.8%
18051,Gibson,Indiana,"8,487",19,"8,506",39.2%
17113,McLean,Illinois,"8,230",97,"8,327",9.5%
48029,Bexar,Texas,"6,526","1,503","8,028",0.9%
48329,Midland,Texas,0,"7,554","7,554",6.5%
48439,Tarrant,Texas,"5,302","1,804","7,106",0.7%
1125,Tuscaloosa,Alabama,"6,999",95,"7,094",7.2%
17031,Cook,Illinois,"5,512",503,"6,015",0.2%
17143,Peoria,Illinois,0,"5,931","5,931",5.8%
47065,Hamilton,Tennessee,"4,403","1,025","5,428",2.5%
39095,Lucas,Ohio,"5,333",0,"5,333",2.7%
1121,Talladega,Alabama,"5,115",134,"5,249",16.6%
1101,Montgomery,Alabama,"4,824",356,"5,180",3.9%
19013,Black Hawk,Iowa,106,"4,848","4,954",6.9%
18003,Allen,Indiana,"4,220",624,"4,844",2.5%
26049,Genesee,Michigan,"4,428",31,"4,459",3.4%
40109,Oklahoma,Oklahoma,0,"4,409","4,409",0.9%
1089,Madison,Alabama,"4,015",125,"4,140",1.8%
19125,Marion,Iowa,0,"4,103","4,103",21.0%
28089,Madison,Mississippi,"4,021",21,"4,042",6.8%
48121,Denton,Texas,"3,694",220,"3,914",1.3%
51155,Pulaski,Virginia,"3,895",0,"3,895",26.1%
48113,Dallas,Texas,22,"3,820","3,842",0.2%
13285,Troup,Georgia,"3,529",295,"3,825",9.3%
26045,Eaton,Michigan,"3,569",243,"3,812",8.8%
29183,St. Charles,Missouri,"3,623",154,"3,777",2.3%
6059,Orange,California,"3,303",427,"3,730",0.2%
8031,Denver,Colorado,0,"3,707","3,707",0.7%
56005,Campbell,Wyoming,"3,403",292,"3,695",14.8%
17161,Rock Island,Illinois,0,"3,627","3,627",5.1%
39159,Union,Ohio,"3,461",2,"3,462",10.1%
55139,Winnebago,Wisconsin,"3,185",24,"3,209",3.4%
40143,Tulsa,Oklahoma,"1,177","2,010","3,187",0.9%
47119,Maury,Tennessee,"3,053",83,"3,136",7.5%
13139,Hall,Georgia,0,"3,090","3,090",3.0%
39091,Logan,Ohio,"2,870",0,"2,870",14.9%
45019,Charleston,South Carolina,"2,851",6,"2,857",1.0%
39141,Ross,Ohio,"2,823",2,"2,825",9.5%
6037,Los Angeles,California,"1,201","1,598","2,799",0.1%
19061,Dubuque,Iowa,77,"2,506","2,583",4.4%
4021,Pinal,Arizona,"2,483",9,"2,492",3.3%
1073,Jefferson,Alabama,"1,400","1,015","2,415",0.7%
37159,Rowan,North Carolina,"2,145",114,"2,259",4.5%
19153,Polk,Iowa,0,"2,253","2,253",0.7%
40147,Washington,Oklahoma,0,"2,227","2,227",11.7%
42077,Lehigh,Pennsylvania,"2,188",16,"2,203",1.1%
4013,Maricopa,Arizona,"1,213",964,"2,177",0.1%
20079,Harvey,Kansas,0,"2,163","2,163",15.2%
42055,Franklin,Pennsylvania,0,"2,149","2,149",3.6%
28145,Union,Mississippi,"2,068",0,"2,068",16.9%
19163,Scott,Iowa,0,"2,035","2,035",2.2%
54081,Raleigh,West Virginia,"1,996",1,"1,997",6.2%
20209,Wyandotte,Kansas,"1,885",27,"1,912",2.1%
39093,Lorain,Ohio,"1,784",114,"1,897",1.9%
19081,Hancock,Iowa,0,"1,893","1,893",31.6%
38017,Cass,North Dakota,4,"1,792","1,796",1.4%
42059,Greene,Pennsylvania,"1,665",120,"1,785",15.1%
39023,Clark,Ohio,"1,732",50,"1,782",3.8%
45015,Berkeley,South Carolina,"1,707",59,"1,766",2.7%
53033,King,Washington,"1,455",307,"1,763",0.1%
37071,Gaston,North Carolina,"1,622",68,"1,690",2.2%
17179,Tazewell,Illinois,0,"1,679","1,679",3.6%
42071,Lancaster,Pennsylvania,346,"1,314","1,659",0.7%
38081,Sargent,North Dakota,0,"1,659","1,659",59.1%
26125,Oakland,Michigan,"1,193",458,"1,651",0.2%
18031,Decatur,Indiana,"1,626",12,"1,638",11.7%
35015,Eddy,New Mexico,0,"1,637","1,637",5.1%
40103,Noble,Oklahoma,0,"1,623","1,623",34.0%
31055,Douglas,Nebraska,0,"1,617","1,617",0.5%
55015,Calumet,Wisconsin,0,"1,599","1,599",9.8%
35025,Lea,New Mexico,0,"1,590","1,590",4.8%
35045,San Juan,New Mexico,479,"1,103","1,582",3.4%
54051,Marshall,West Virginia,"1,493",86,"1,579",14.8%
17115,Macon,Illinois,28,"1,540","1,568",3.5%
42003,Allegheny,Pennsylvania,7,"1,544","1,551",0.2%
21227,Warren,Kentucky,"1,525",20,"1,545",2.2%
47143,Rhea,Tennessee,"1,544",0,"1,544",13.1%
55027,Dodge,Wisconsin,0,"1,540","1,540",4.3%
54045,Logan,West Virginia,"1,475",0,"1,475",14.3%
6029,Kern,California,23,"1,448","1,471",0.4%
13157,Jackson,Georgia,0,"1,422","1,422",3.1%
40009,Beckham,Oklahoma,0,"1,400","1,400",14.2%
48135,Ector,Texas,1,"1,395","1,396",1.8%
37101,Johnston,North Carolina,0,"1,387","1,387",2.3%
8123,Weld,Colorado,0,"1,359","1,359",1.2%
20169,Saline,Kansas,103,"1,215","1,317",4.3%
18001,Adams,Indiana,0,"1,309","1,309",10.0%
6077,San Joaquin,California,844,458,"1,302",0.5%
42125,Washington,Pennsylvania,330,967,"1,297",1.5%
55087,Outagamie,Wisconsin,"1,240",36,"1,276",1.2%
54039,Kanawha,West Virginia,"1,082",187,"1,269",1.3%
39157,Tuscarawas,Ohio,26,"1,228","1,254",3.3%
51027,Buchanan,Virginia,"1,154",96,"1,250",20.8%
27053,Hennepin,Minnesota,17,"1,228","1,245",0.1%
51173,Smyth,Virginia,0,"1,224","1,224",10.3%
27145,Stearns,Minnesota,684,539,"1,224",1.4%
39003,Allen,Ohio,"1,195",0,"1,195",2.4%
1083,Limestone,Alabama,"1,181",12,"1,192",3.6%
55079,Milwaukee,Wisconsin,0,"1,188","1,188",0.3%
1059,Franklin,Alabama,0,"1,161","1,161",10.8%
20173,Sedgwick,Kansas,1,"1,137","1,138",0.4%
48085,Collin,Texas,40,"1,071","1,110",0.2%
37081,Guilford,North Carolina,"1,004",100,"1,103",0.4%
18083,Knox,Indiana,888,198,"1,085",6.3%
16001,Ada,Idaho,188,890,"1,078",0.4%
48339,Montgomery,Texas,0,"1,077","1,077",0.5%
39049,Franklin,Ohio,381,691,"1,073",0.1%
36065,Oneida,New York,0,"1,067","1,067",1.1%
6073,San Diego,California,124,935,"1,059",0.1%
48183,Gregg,Texas,0,"1,049","1,049",1.4%
17097,Lake,Illinois,166,871,"1,037",0.3%
46135,Yankton,South Dakota,0,"1,035","1,035",7.9%
38015,Burleigh,North Dakota,55,963,"1,018",1.8%
22057,Lafourche,Louisiana,0,"1,012","1,012",2.9%
47183,Weakley,Tennessee,0,"1,011","1,011",9.4%
18021,Clay,Indiana,9,993,"1,002",12.2%
5063,Independence,Arkansas,0,"1,000","1,000",5.7%
21067,Fayette,Kentucky,109,886,995,0.5%
31079,Hall,Nebraska,0,994,994,2.8%
54001,Barbour,West Virginia,951,25,976,25.1%
47059,Greene,Tennessee,0,973,973,3.9%
54109,Wyoming,West Virginia,597,372,969,22.1%
48245,Jefferson,Texas,0,967,967,0.8%
29095,Jackson,Missouri,208,747,956,0.3%
17197,Will,Illinois,137,818,955,0.4%
54059,Mingo,West Virginia,950,0,950,19.3%
49011,Davis,Utah,0,948,948,0.7%
21047,Christian,Kentucky,425,513,938,3.0%
41051,Multnomah,Oregon,701,236,937,0.2%
42009,Bedford,Pennsylvania,0,932,932,5.6%
39137,Putnam,Ohio,0,920,920,7.4%
39151,Stark,Ohio,0,912,912,0.6%
12081,Manatee,Florida,681,228,909,0.6%
27063,Jackson,Minnesota,0,889,889,17.7%
13205,Mitchell,Georgia,0,881,881,13.5%
21225,Union,Kentucky,847,17,864,16.8%
6019,Fresno,California,43,814,856,0.2%
42057,Fulton,Pennsylvania,0,854,854,15.9%
48233,Hutchinson,Texas,0,842,842,10.7%
26065,Ingham,Michigan,795,42,837,0.5%
55039,Fond du Lac,Wisconsin,0,818,818,1.8%
37077,Granville,North Carolina,0,803,803,4.0%
21045,Casey,Kentucky,0,799,799,19.3%
5055,Greene,Arkansas,0,795,795,5.0%
17043,DuPage,Illinois,419,375,794,0.1%
17141,Ogle,Illinois,0,788,788,5.3%
38105,Williams,North Dakota,15,765,780,2.9%
45045,Greenville,South Carolina,575,201,776,0.3%
41039,Lane,Oregon,40,731,771,0.5%
17001,Adams,Illinois,0,761,761,2.4%
13051,Chatham,Georgia,0,761,761,0.4%
42111,Somerset,Pennsylvania,661,99,760,3.3%
37067,Forsyth,North Carolina,0,752,752,0.4%
56037,Sweetwater,Wyoming,308,437,745,3.6%
19069,Franklin,Iowa,0,742,742,18.6%
5031,Craighead,Arkansas,0,728,728,1.3%
55045,Green,Wisconsin,0,720,720,4.7%
54049,Marion,West Virginia,715,1,716,4.1%
6071,San Bernardino,California,463,244,707,0.1%
27033,Cottonwood,Minnesota,0,705,705,14.4%
42041,Cumberland,Pennsylvania,0,701,701,0.5%
55025,Dane,Wisconsin,0,701,701,0.2%
51051,Dickenson,Virginia,627,70,697,20.6%
5119,Pulaski,Arkansas,0,690,690,0.3%
54005,Boone,West Virginia,680,0,680,14.9%
39169,Wayne,Ohio,0,677,677,1.4%
37105,Lee,North Carolina,0,677,677,2.5%
55101,Racine,Wisconsin,0,675,675,0.9%
4019,Pima,Arizona,1,668,668,0.2%
48277,Lamar,Texas,0,668,668,3.0%
48423,Smith,Texas,0,664,664,0.6%
22071,Orleans,Louisiana,0,663,663,0.4%
42011,Berks,Pennsylvania,0,655,655,0.4%
19167,Sioux,Iowa,0,648,648,2.8%
55071,Manitowoc,Wisconsin,0,647,647,1.9%
12083,Marion,Florida,587,54,641,0.5%
55049,Iowa,Wisconsin,0,641,641,5.9%
6099,Stanislaus,California,0,639,639,0.3%
19095,Iowa,Iowa,0,639,639,7.0%
20117,Marshall,Kansas,0,636,636,14.1%
40017,Canadian,Oklahoma,20,614,634,1.6%
19093,Ida,Iowa,0,629,629,17.5%
39017,Butler,Ohio,66,560,626,0.4%
21195,Pike,Kentucky,503,122,625,3.1%
27151,Swift,Minnesota,0,624,624,16.7%
