FIPS,State,Area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013, Civilian_labor_force_2016 , Employed_2016 , Unemployed_2016 ,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
01001,AL,"Autauga County, AL",2,2,1," 25,966 "," 24,645 "," 1,321 ",5.1,25972,24958,1014,3.9,"25,957","25,015",942,3.6,"$59,338 ",119.0
01003,AL,"Baldwin County, AL",3,2,1," 90,670 "," 85,839 "," 4,831 ",5.3,92090,88342,3748,4.1,"93,849","90,456","3,393",3.6,"$57,588 ",115.5
01005,AL,"Barbour County, AL",6,6,0," 8,417 "," 7,717 ", 700 ,8.3,8317,7831,486,5.8,"8,373","7,940",433,5.2,"$34,382 ",68.9
01007,AL,"Bibb County, AL",1,1,1," 8,623 "," 8,067 ", 556 ,6.4,8550,8174,376,4.4,"8,661","8,317",344,4.0,"$46,064 ",92.3
01009,AL,"Blount County, AL",1,1,1," 24,623 "," 23,298 "," 1,325 ",5.4,24725,23726,999,4.0,"25,006","24,128",878,3.5,"$50,412 ",101.1
01011,AL,"Bullock County, AL",6,6,0," 4,833 "," 4,503 ", 330 ,6.8,4833,4595,238,4.9,"4,776","4,552",224,4.7,"$29,267 ",58.7
01013,AL,"Butler County, AL",6,6,0," 9,206 "," 8,571 ", 635 ,6.9,8941,8446,495,5.5,"8,914","8,487",427,4.8,"$37,365 ",74.9
01015,AL,"Calhoun County, AL",3,2,1," 45,902 "," 42,906 "," 2,996 ",6.5,45770,43497,2273,5.0,"45,972","43,833","2,139",4.7,"$45,400 ",91.0
01017,AL,"Chambers County, AL",6,5,0," 15,006 "," 14,188 ", 818 ,5.5,15200,14579,621,4.1,"15,276","14,679",597,3.9,"$39,917 ",80.0
01019,AL,"Cherokee County, AL",6,6,0," 11,353 "," 10,780 ", 573 ,5.0,11340,10877,463,4.1,"11,622","11,207",415,3.6,"$42,132 ",84.5
01021,AL,"Chilton County, AL",1,1,1," 19,219 "," 18,167 "," 1,052 ",5.5,19257,18470,787,4.1,"19,476","18,773",703,3.6,"$47,547 ",95.3
01023,AL,"Choctaw County, AL",9,10,0," 4,334 "," 3,966 ", 368 ,8.5,4407,4128,279,6.3,"4,694","4,434",260,5.5,"$39,907 ",80.0
01025,AL,"Clarke County, AL",7,11,0," 7,966 "," 7,102 ", 864 ,10.8,7737,7078,659,8.5,"7,627","7,057",570,7.5,"$40,741 ",81.7
01027,AL,"Clay County, AL",9,10,0," 5,634 "," 5,300 ", 334 ,5.9,5796,5544,252,4.3,"5,963","5,730",233,3.9,"$39,201 ",78.6
01029,AL,"Cleburne County, AL",8,4,0," 5,796 "," 5,450 ", 346 ,6.0,5724,5466,258,4.5,"5,743","5,499",244,4.2,"$46,495 ",93.2
01031,AL,"Coffee County, AL",4,5,0," 20,633 "," 19,424 "," 1,209 ",5.9,20886,19966,920,4.4,"20,817","19,995",822,3.9,"$55,122 ",110.5
01033,AL,"Colbert County, AL",3,2,1," 23,491 "," 21,862 "," 1,629 ",6.9,23252,22038,1214,5.2,"23,258","22,184","1,074",4.6,"$49,055 ",98.3
01035,AL,"Conecuh County, AL",7,11,0," 4,556 "," 4,173 ", 383 ,8.4,4487,4212,275,6.1,"4,494","4,259",235,5.2,"$32,613 ",65.4
01037,AL,"Coosa County, AL",8,3,0," 4,387 "," 4,126 ", 261 ,5.9,4380,4174,206,4.7,"4,376","4,193",183,4.2,"$42,423 ",85.0
01039,AL,"Covington County, AL",6,6,0," 15,519 "," 14,472 "," 1,047 ",6.7,15716,14895,821,5.2,"15,617","14,902",715,4.6,"$40,203 ",80.6
01041,AL,"Crenshaw County, AL",8,6,0," 6,463 "," 6,085 ", 378 ,5.8,6403,6112,291,4.5,"6,298","6,041",257,4.1,"$39,057 ",78.3
01043,AL,"Cullman County, AL",4,3,0," 37,971 "," 36,087 "," 1,884 ",5.0,37824,36404,1420,3.8,"37,830","36,589","1,241",3.3,"$45,796 ",91.8
