id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths
1426059,"Aza Services, LLC",Aza Services LLC,812104657,613 Davis Rd,Jefferson,GA,30549,238140,Masonry,12,700,2,0
1426060,All Steel Welding LLC,All Steel Welding LLC,853696720,220 Grand St,Channelview,TX,77530,332312,"Fabrication, Erection, and Welding.",20,38400,2,0
1426061,"CJF Shipping, LLC","CJF Shipping, LLC",872099752,429 Delancy St.,Newark,NJ,7105,492110,Delivery,25,700,2,0
1426062,Sidebotham Substation Services PLLC,Main Office,872042471,1321 Silverleaf Rd,Eastover,NC,28312,221122,Electric power distribution systems,1,2080,2,0
1426063,I Do Furniture INC,Duckjung Kim,204220491,"565 Kokea St., G4",Honolulu,HI,96817,236118,custom made cabinets supplier,4,10800,2,0
1426064,GF Tree Service LLC,GF Tree Service LLC,823106264,216 High Street ,Weston ,WV,26452,561730,Tree Service ,20,49000,2,0
1426065,Green Sky Insulation LLC,Green Sky Insulation LLC,811328900,162 Airpark Drive,Gypsum,CO,81637,238310,Installation of Insulation,14,23485,2,0
1426066,Weir,Weir Minerals,391147488,2701 S. Stoughton Rd.,Madison,WI,53716,333911, Centrifugal pumps manufacturing ,275,505738,1,0
1426067,Renaissance Nutrition,Renaissance Nutrition Inc,621256457,339 Frederick Road,Roaring Spring,PA,16673,311119, Animal feed mills (except dog and cat) manufacturing ,55,128700,1,0
1426069,Procter & Gamble Manufacturing,Procter & Gamble Manufacturing,310411982,8201 Fruitridge Rd. ,Sacramento,CA,95826,325611," Glycerin (i.e., glycerol), natural, manufacturing ",115,258824,1,0
1426070,Precision Ag Construction LLC,Precision Ag Construction LLC,830606041,2719 Idaho Ave.,Grand Island,NE,68803,238290, Millwrights ,19,51313,2,0
1426071,Sheridan Community Fire Protection District,Sheridan Fire Department,134217940,405 North Bushnell Street,Sheridan,IL,605510508,922160," Fire departments (e.g., government, volunteer (except private)) ",16,17520,2,0
1426072,TREXLER TRUCKING INC.,TREXLER TRUCKING INC.,560989375,3350 LIBERTY ROAD,GOLD HILL,NC,28071,484220," Dump trucking (e.g., gravel, sand, top soil) ",83,192000,1,0
1426073,Jordan tree services LLC ,Jordan tree services LLC ,861210852,16 Cinnamon Drive,Johnston Ri,RI,2919,115310,Forestry,1,1,2,0
1426074,,"Vermont Wood Pellet Company, LLC",263086760,1105 Route 7B Central,N. Clarendondon,VT,5759,321911," Door frames and sash, wood and covered wood, manufacturing ",18,33055,1,0
1426075,Greydale Global Logistics LLC,Greydale Global Logistics LLC,834397532,3316 A South Cobb Dr. Ste 134,Smyrna,GA,30080,492210," Local letter and parcel delivery services (except as part of intercity carrier network, U.S. Postal Service) ",50,90000,2,0
1426076,"Del-Co Water Company, Inc.",Ralph E. Scott WTP,,3855 Lewis Center Rd,Lewis Center,OH,43035,221310, Water treatment and distribution ,8,16640,2,0
1426077,"Del-Co Water Company, Inc.",Del-Co Water Company - 6658 Olentangy River Rd,310749383,6658 Olentangy River Rd,Delaware,OH,43015,221310, Water treatment and distribution ,18,37440,2,0
1426078,"Del-Co Water Company, Inc.",Del-Co Water Company - 6682 Olentangy River Rd ,,6682 Olentangy River Rd,Delaware,OH,43015,221310, Water treatment and distribution ,65,135200,2,0
1426079,"Del-Co Water Company, Inc. ",Morrow County Office,,4940 State Route 229,Marengo,OH,43334,221310, Water treatment and distribution ,9,18720,1,0
1426080,"Del-Co Water Company, Inc. ",Thomas E. Steward WTP,,14821 Lucerne Rd,Fredericktown,OH,43019,221310, Water treatment and distribution ,3,6240,2,0
1426081,Bellas Landscaping LLC,Bellas Landscaping LLC,,2405 Fox Creek Rd.,Bloomington,IL,61705,561730, Landscape care and maintenance services ,32,32195,2,0
1426092,Just Farms LP,Just Farms LP,471949297,45 Block Road,Gridley,CA,95948,111335, Walnut farming ,18,49712,1,0
1426093,Angcha Inc.,Chino Warehouse,352277190,4175 Schaefer Avenue,Chino,CA,91710,493110," Warehousing and storage, general merchandise ",15,20982,2,0
1426094,Corbion,Corbion,522006028,5150 north royal atlanta dr ,tucker,GA,30084,325411, Acetylsalicylic acid manufacturing ,35,65512,2,0
1426095,Lumar Dairy Farms,Orchard,264301974,2118 W. Simmons Road,Turlock,CA,95380,111335, Almond farming ,2,6714,2,0
1426096,Lumar Dairy Farms,Heifer Ranch on Williams,264301974,22121 W. Williams Ave.,Hilmar,CA,95324,112111, Dairy heifer replacement production ,1,3680,2,0
1426097,Lumar Dairy Farms,Prairie Flower - Home Ranch,264301974,7215 S. Prairie Flower Road,Turlock,CA,95380,112120," Milk production, dairy cattle ",21,46227,1,0
1426098,Gaines and company,Gaines and company Inc,520636385,526 Three Sisters road,Knightdale,NC,27545,237110," Construction management, water and sewer line ",138,311326,1,0
1426099,Gaines and company,Gaines and company,520636385,112 Westminster Pike,Reisterstown,MD,21136,237110," Construction management, water and sewer line ",137,306768,1,0
1426100,"Walters Excavating, Inc.","Walters Excavating, Inc.",,4254 Jefferson avenue,Bethlehem,PA,18015,238910," Excavating, earthmoving, or land clearing contractors ",18,45154,2,0
1426101,T.C. Service Co.,T.C. Service Co.,,38285 Pelton Rd. ,Willoughby,OH,44094,333991," Grinders, handheld power-driven, manufacturing ",20,45703,2,0
1426102,ARCH ENVIRONMENTAL EQUIPMENT INC,ARCH ENVIRONMENTAL EQUIPMENT INC,610908770,5929 BENTON ROAD ,PADUCAH,KY,42003,333922, Mine conveyors manufacturing ,23,41565,2,0
1426103,Riverhawk Company,Riverhawk Company,,215 Clinton Road,New Hartford,NY,13413,332710, Machine shops ,90,165297,1,0
1426104,Cold Harbor Building Company,Cold Harbor Building Company,341915165,115 Industrial Parkway,Chardon,OH,44024,236220, Commercial building construction general contractors ,16,29350,2,0
1426105,CMR USA LLC,CMR USA LLC,251839830,940 Riverside Pl ,Leetsdale,PA,15056,334419, Harness assemblies for electronic use manufacturing ,30,78200,2,0
1426106,Seconn Fabrication,Seconn Fabrication,421587841,180 Cross Road,Waterford,CT,6385,332322," Cornices, sheet metal (except stampings), manufacturing ",30,2080,2,0
1426107,Regency LLC,Regency LLC,832395807,11 E. Mount Royal Avenue,Baltimore,MD,21202,812220, Animal cemeteries ,478,994240,1,0
1426108,"Kaneta Kogyo Co., LTD","Bucyrus Precision Tech, Inc.",311444753,200 Crossroads Blvd.,Bucyrus,OH,44820,336350," Drive shafts and half shafts, automotive, truck, and bus, manufacturing ",63,123787,1,0
1426109,"Haig Press, Inc. ","Haig Press, Inc.",132844008,690 Old Willets Path,Hauppauge,NY,11788,323111," Printing, lithographic (except books, grey goods) ",39,84103,2,0
1426110,Bluegrass Contracting Corporation,Bluegrass Contracting Corporation,610679440,1075 Red Mile Road,Lexington,KY,40504,237310, Road construction ,45,82715,1,0
1426111,Wood Essence,Wood Essence,760157825,4810 Laigle,Manvel,TX,77578,238350, Millwork installation ,36,53747,1,0
1426112,BYERS DC DETROIT INC,BYERS D.C. DETROIT INC,383475107,5715 RIVARD ST,DETROIT,MI,48211,238140, Masonry contractors ,130,186677,2,0
1426113,Franke Plating Works,Franke Plating Works,351044469,2109 E. Washington Blvd,Fort Wayne,IN,46803,332813, Electroplating metals and formed products for the trade ,40,65000,1,0
1426114,"Epic Resins, Inc.","Epic Resins, Inc.",391835417,600 Industrial Blvd.,Palmyra,WI,53156,325211, Epoxy resins manufacturing ,48,107759,1,0
1426115,"Newton Crane Roofing, Inc.","Newton Crane Roofing, Inc.",371425932,353 North Cass Avenue,Pontiac,MI,48342,238160, Roofing contractors ,38,55746,2,0
1426116,Elizabeth River Crossings LLC,Elizabeth River Crossings LLC,364716086,152 Tunnel Facility Dr,Portsmouth,VA,23707,488490, Transportation management consulting services ,200,493298,1,0
1426117,AGI,Hutchinson-Mayrath Clay Center,470800196,514 W Crawford St.,Clay Center,KS,67432,333922, Farm-type conveyors manufacturing ,130,303930,1,0
1426118,Plocher Construction,Plocher Construction Company,371289208,2808 Thole Plocher Road,Highland,IL,62249,236220, Institutional building construction general contractors ,163,275513,2,0
1426119,"Edge Manufacturing, Inc.","Edge Manufacturing, Inc.",352013511,1274 S Adams Street,Bluffton,IN,46714,326199," Awnings, rigid plastics or fiberglass, manufacturing ",49,88701,1,0
1426120,"R.S. Audley, Inc.","R.S. Audley, Inc.",20237185,1113 ROUTE 3A,BOW,NH,33044025,237310," Pavement, highway, road, street, bridge or airport runway, construction ",100,159772,1,0
1426121,Fabrizi Recycling Inc.,Fabrizi Recycling Inc.,300078424,6751 Eastland Rd.,Middleburg Hts.,OH,44130,237110," Construction management, water and sewer line ",36,65051,1,0
1426122,Du Page Precision Products Co,Du Page Precision Products Co,362159697,"3695 Darlene Ct, Ste 101",Aurora,IL,60504,332710, Machine shops ,46,89950,1,0
1426123,Eastland Trucking Inc.,Eastland Trucking Inc.,320014792,20389 First Ave.,MIDDLEBURG HTS.,OH,44130,484220," Dump trucking (e.g., gravel, sand, top soil) ",15,32703,2,0
1426124,"M.D. Descant, LLC","M.D. Descant, LLC",,206 Evergreen Street,Bunkie,LA,71322,236220, Commercial building construction general contractors ,31,51306,2,0
1426125,Saputo Dairy USA,Saputo Dairy USA,,425 S Roosevelt Street,Lancaster,WI,53813,311513, Cheese (except cottage cheese) manufacturing ,75,143235,1,0
