,year,coal,oil,gas,cement,anthro,total
0,1854,0.08912931085333493,0.0,0.0,0.0,255,0.08912931085333493
1,1855,0.11590234610263006,0.0,0.0,0.0,260,0.11590234610263006
2,1856,0.14267538135192517,0.0,0.0,0.0,278,0.14267538135192517
3,1857,0.16584488763632385,0.0,0.0,0.0,281,0.16584488763632385
4,1858,0.1890143950414429,0.0,0.0,0.0,285,0.1890143950414429
5,1859,0.21218390023423606,0.0,0.0,0.0,302,0.21218390023423606
6,1860,0.23535340599357135,0.0,0.0,0.0,332,0.23535340599357135
7,1861,0.25852291227797003,0.0,0.0,0.0,349,0.25852291227797003
8,1862,0.281692419683089,0.0,0.0,0.0,355,0.281692419683089
9,1863,0.3048619248758822,0.0,0.0,0.0,379,0.3048619248758822
10,1864,0.4024562868976549,0.0,0.0,0.0,409,0.4024562868976549
11,1865,0.47973264347109335,0.0,0.0,0.0,434,0.47973264347109335
12,1866,0.5750809870528055,0.0,0.0,0.0,449,0.5750809870528055
13,1867,0.6704293306345175,0.0,0.0,0.0,480,0.6704293306345175
14,1868,0.7657776753078349,0.0,0.0,0.0,494,0.7657776753078349
15,1869,0.8611260188895471,0.0,0.0,0.0,524,0.8611260188895471
16,1870,1.0961565514752714,0.0,0.0,0.0,536,1.0961565514752714
17,1871,1.3311870879191057,0.0,0.0,0.0,569,1.3311870879191057
18,1872,1.566217622150614,0.0,0.0,0.0,630,1.566217622150614
19,1873,1.8012481563821225,0.0,0.0,0.0,670,1.8012481563821225
20,1874,2.0362786911801725,0.0,0.0,0.0,628,2.0362786911801725
21,1875,2.271309225411681,0.0,0.0,0.0,681,2.271309225411681
22,1876,2.506339761855515,0.0,0.0,0.0,690,2.506339761855515
23,1877,2.7413702944412397,0.0,0.0,0.0,704,2.7413702944412397
24,1878,2.976400830885074,0.0,0.0,0.0,709,2.976400830885074
25,1879,3.2114313651165816,0.0,0.0,0.0,759,3.2114313651165816
26,1880,3.4464618987939115,0.0,0.0,0.0,858,3.4464618987939115
27,1881,3.6814924352377463,0.0,0.0,0.0,887,3.6814924352377463
28,1882,3.9165229694692543,0.0,0.0,0.0,937,3.9165229694692543
29,1883,4.151553504267305,0.0,0.0,0.0,997,4.151553504267305
30,1884,4.386584038498814,0.033083387049005514,0.0,0.0,1009,4.41966742554782
31,1885,4.621614574942647,0.06924481609937636,0.0,0.0,1017,4.690859391042023
32,1886,4.856645109174156,0.11340299792158032,0.0,0.0,1032,4.970048107095737
33,1887,5.09167564175988,0.1612867042320317,0.0,0.0,1083,5.252962345991912
34,1888,5.326706178203715,0.21580507931112855,0.0,0.0,1200,5.542511257514843
35,1889,5.561736712435223,0.32103541753770604,0.0,0.0,1201,5.8827721299729285
36,1890,5.796767247233272,0.4107671756507967,0.0,0.0,1306,6.207534422884069
37,1891,6.031797781464781,0.5672121907941688,0.0,0.0,1368,6.5990099722589495
38,1892,6.266828317908615,0.7210020049961225,0.0,0.0,1379,6.987830322904738
39,1893,6.50185885049434,0.9023029155406128,0.0,0.0,1362,7.404161766034953
40,1894,6.736889384725848,1.1882451709714457,0.0,0.0,1411,7.925134555697294
41,1895,6.9719199211696825,1.3223068945971148,0.0,0.0,1495,8.294226815766798
42,1896,7.2069504554011905,1.6009912774708641,0.0,0.0,1544,8.807941732872054
43,1897,7.441980990199241,2.594834785142681,0.0,0.0,1617,10.036815775341921
44,1898,7.677011524430749,2.462636147529083,0.0,0.0,1705,10.139647671959832
45,1899,7.912042060874583,1.7664555645830287,0.0,0.0,1863,9.678497625457611
46,1900,43.86485965385854,1.7516030090575174,0.5391213390941934,0.0,1961,46.15558400201025
47,1901,47.92613574218079,2.22268426852811,0.7581393831012094,0.0,2023,50.90695939381011
48,1902,51.98741182551356,2.4657182942980387,0.8676484051047172,0.0,2074,55.320778524916314
49,1903,56.048687908321256,2.656933304093551,1.006640625339939,0.0,2262,59.712261837754745
50,1904,55.55625998051334,2.9039611562336467,1.08245456365006,0.0,2287,59.54267570039705
51,1905,55.06383204861031,3.1259739596222036,1.3478033477354834,0.0,2437,59.537609355967994
52,1906,54.571404115514675,4.800113326844161,1.6384234445909467,0.0,2544,61.009940886949785
53,1907,54.078976185041256,5.942101569012818,1.714237382901068,0.0,2900,61.735315136955144
54,1908,53.58654825051669,5.660994260640065,1.6931779555927007,0.0,2785,60.94072046674946
55,1909,53.74656132011124,6.482154761815084,2.0259169070648984,0.0,2901,62.25463298899122
56,1910,53.36922733150422,7.987646835255071,2.143849699991753,0.0,3043,63.500723866751045
57,1911,52.93744928221466,8.434813952444717,2.1606972418384465,0.0,3090,63.53296047649782
58,1912,52.50567122804728,14.310166296860501,2.3670796294604424,0.0,3246,69.18291715436823
59,1913,108.24009505547919,19.675530438215116,2.4513173386939098,0.0,3516,130.36694283238822
60,1914,106.95118993188608,13.497810727462998,2.493436193310644,0.0,3189,122.94243685265972
61,1915,105.66228475838814,12.766456202780768,2.649275955392559,0.0,3140,121.07801691656147
62,1916,104.37337960979062,24.425579524919797,3.1715497526400593,0.0,3391,131.97050888735046
63,1917,103.08447446471268,25.891339969196505,3.3484489420303403,0.0,3548,132.32426337593952
64,1918,101.79556930133033,21.00417284727853,3.036769417866511,0.0,3499,125.83651156647537
65,1919,100.50666413334692,29.005926901388438,3.1420665544083453,0.0,3033,132.6546575891437
66,1920,99.21775900300389,39.15147704542857,3.420050994878789,0.0,3537,141.78928704331125
67,1921,108.89308789405341,47.42873118511508,2.8388108011678614,0.0,3106,159.16062988033636
68,1922,118.56841681416302,58.72885866521736,3.268423118258547,0.0,3254,180.5656985976389
69,1923,128.2437457273358,86.58326843424865,4.317182598215219,0.0,3690,219.14419675979968
70,1924,137.91907462533482,91.69325696209488,4.894210906464474,0.0,3702,234.5065424938942
71,1925,147.59440352999647,97.5471396595514,5.096381408624795,0.0,3740,250.23792459817267
72,1926,157.26973245433464,126.72679112367317,11.089112230802314,0.0,3677,295.0856358088101
73,1927,166.94506134456256,151.25976567562827,12.19791786020556,0.0,4012,330.40274488039637
74,1928,173.99916615676906,173.07189625153003,13.318031113752468,0.0476671,3996,360.43676062205157
75,1929,180.4480005104931,189.94266716942707,15.469800332254419,0.0916675,4288,385.9521355121746
76,1930,186.92267580583635,204.07076246091282,19.233641492018286,0.0880008,3958,410.3150805587675
77,1931,209.46167839662675,185.2288628787996,19.207445295573443,0.1173344,3539,414.01532097099977
78,1932,254.30343700427815,189.59922662054234,20.68193580065239,0.0953342,3192,464.6799336254729
79,1933,290.5126530147808,202.68344405731077,22.031702145025857,0.1356679,3362,515.3634671171175
80,1934,349.2223525643853,239.27871703859353,24.42173760031824,0.1173344,3656,613.040141603297
81,1935,343.8390658369035,264.8465381335141,27.530742655293523,0.1870017,3835,636.4033483257111
82,1936,387.0687905762798,289.52144156889574,32.021386369938945,0.513338,4207,709.1249565151145
83,1937,392.1206657103653,356.8959502114549,38.3817624935994,0.5243381,4496,787.9227165154196
84,1938,468.2684029415303,381.9932709351531,33.59759709979244,0.0110001,4229,883.8702710764759
