,Unnamed: 0,State,Area name,FIPS,TotalVote2024,DemVote2024,RepVote2024,OtherVote2024,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2008-12","High school diploma only, 2008-12","Some college or associate's degree, 2008-12","Bachelor's degree or higher, 2008-12","Percent of adults with less than a high school diploma, 2008-12","Percent of adults with a high school diploma only, 2008-12","Percent of adults completing some college or associate's degree, 2008-12","Percent of adults with a bachelor's degree or higher, 2008-12","Less than a high school diploma, 2018-22","High school diploma only, 2018-22","Some college or associate's degree, 2018-22","Bachelor's degree or higher, 2018-22","Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22",Rural_Urban_Continuum_Code_2013,Urban_Influence_Code_2013,Metro_2013,Unemp2001,Unemp2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021,RepVote2020,DemVote2020,TotalVote2020,pctdem2008,pctdem2012,pctdem2016,pctrep2008,pctrep2012,pctrep2016,dempct2024,dempct2020,DiffPct,FIPS2,FIPS3,Diff3
0,0,AL,Baldwin County,1003,121413,24763.0,95144,1506,17258.0,28428.0,28178.0,22146.0,18.0,29.6,29.3,23.1,14792.0,36675.0,40497.0,35307.0,11.62244345,28.81646251,31.81950326,27.74159078,14031.0,46391.0,52215.0,54385.0,8.400689729,27.77538288,31.26234867,32.56157871,3.0,2.0,1.0,4.3,2.4,65658.0,121.6,83544.0,24578.0,109679.0,23.81,21.59,19.39,75.26,77.36,76.55,20.395674268818002,22.409029987509005,-2.0133557186910025,1003,01003,-1
1,1,AL,Barbour County,1005,9789,4120.0,5578,91,6679.0,6124.0,4025.0,2068.0,35.3,32.4,21.3,10.9,5013.0,6320.0,4892.0,2757.0,26.4092298,33.29470024,25.7717838,14.52428617,4155.0,6507.0,4913.0,2100.0,23.50777935,36.81471004,27.79632249,11.88118812,6.0,6.0,0.0,7.6,4.1,38649.0,71.6,5622.0,4816.0,10518.0,48.99,51.37,46.53,50.44,48.22,52.1,42.08805802431301,45.78817265639856,-3.700114632085551,1005,01005,-1
2,2,AL,Bibb County,1007,9246,1617.0,7563,66,4984.0,4838.0,2756.0,962.0,36.8,35.7,20.4,7.1,3702.0,6457.0,3963.0,1396.0,23.85616703,41.60974352,25.5380848,8.99600464,3366.0,6510.0,4310.0,1739.0,21.13657771,40.87912088,27.06436421,10.91993721,1.0,1.0,1.0,6.8,2.5,48454.0,89.7,7525.0,1986.0,9595.0,26.6,26.15,21.25,72.44,72.83,76.4,17.488643737832575,20.698280354351226,-3.209636616518651,1007,01007,-1
3,3,AL,Blount County,1009,28072,2569.0,25271,232,9960.0,12136.0,8371.0,3235.0,29.6,36.0,24.8,9.6,9419.0,13994.0,10498.0,4792.0,24.33661473,36.15740382,27.12451231,12.38146914,7447.0,14414.0,12939.0,6017.0,18.24484896,35.31371732,31.70002695,14.74140677,1.0,1.0,1.0,3.7,2.2,56894.0,105.4,24711.0,2640.0,27588.0,14.51,12.37,8.43,84.02,86.47,89.33,9.15146765460245,9.569377990430622,-0.4179103358281715,1009,01009,-1
4,4,AL,Bullock County,1011,4109,2983.0,1099,27,2992.0,2667.0,1325.0,586.0,39.5,35.2,17.5,7.7,2249.0,2729.0,1697.0,900.0,29.68976898,36.02640264,22.40264026,11.88118812,1905.0,2957.0,1623.0,671.0,26.62101733,41.32196758,22.68026831,9.376746786,6.0,6.0,0.0,10.0,2.8,32027.0,59.3,1146.0,3446.0,4613.0,74.07,76.31,74.95,25.69,23.51,24.2,72.59673886590411,74.70192933015392,-2.1051904642498016,1011,01011,-1
5,5,AL,Butler County,1013,8472,3248.0,5167,57,4439.0,4749.0,3146.0,1433.0,32.2,34.5,22.9,10.4,3341.0,5463.0,3465.0,1812.0,23.72700802,38.79696044,24.6076273,12.86840423,1646.0,6364.0,3525.0,1731.0,12.40765868,47.97225991,26.57168702,13.04839439,6.0,6.0,0.0,7.6,3.4,39442.0,73.1,5458.0,3965.0,9488.0,43.14,46.06,42.67,56.49,53.57,56.13,38.33805476864967,41.78962900505902,-3.45157423640935,1013,01013,-1
6,6,AL,Calhoun County,1015,48558,13170.0,34841,547,19318.0,23856.0,19576.0,11265.0,26.1,32.2,26.4,15.2,16603.0,26224.0,22932.0,12544.0,21.20352988,33.49041544,29.28623424,16.01982044,11783.0,27278.0,24752.0,15118.0,14.92822845,34.55929863,31.35903511,19.15343781,3.0,2.0,1.0,5.6,3.0,48166.0,89.2,35101.0,15216.0,50983.0,33.17,33.53,27.67,65.69,65.46,68.66,27.1222043741505,29.845242531824333,-2.723038157673834,1015,01015,-1
7,7,AL,Chambers County,1017,14234,5402.0,8704,128,8778.0,7863.0,5517.0,2339.0,35.8,32.1,22.5,9.5,6194.0,8277.0,6546.0,2604.0,26.22242919,35.04085348,27.71262859,11.02408873,4087.0,9763.0,7710.0,3146.0,16.54254027,39.51671659,31.20699425,12.73374889,6.0,5.0,0.0,5.5,2.6,45447.0,84.2,8753.0,6365.0,15284.0,45.46,47.03,41.61,53.94,52.19,56.42,37.95138401011662,41.644857367181366,-3.6934733570647467,1017,01017,-1
8,8,AL,Cherokee County,1019,12987,1550.0,11342,95,6138.0,5865.0,3186.0,1636.0,36.5,34.9,18.9,9.7,4241.0,6206.0,5627.0,2429.0,22.92060747,33.54050694,30.41128466,13.12760093,3348.0,6678.0,5794.0,2703.0,18.07482589,36.0524753,31.28003023,14.59266857,6.0,6.0,0.0,4.6,2.3,46365.0,85.9,10583.0,1624.0,12301.0,23.66,21.8,14.41,74.89,76.76,83.42,11.935011935011936,13.202178684659783,-1.2671667496478474,1019,01019,-1
9,9,AL,Chilton County,1021,19743,2697.0,16901,145,8757.0,9264.0,5307.0,2574.0,33.8,35.8,20.5,9.9,7023.0,11356.0,6958.0,3608.0,24.2632579,39.23302816,24.03869407,12.46501987,5460.0,12737.0,8135.0,4277.0,17.83789082,41.6119442,26.57715051,13.97301447,1.0,1.0,1.0,4.8,2.3,55142.0,102.1,16085.0,3073.0,19310.0,20.66,19.45,15.85,78.49,79.78,82.1,13.660537912171403,15.91403417918177,-2.2534962670103678,1021,01021,-1
