year,parent_entity,parent_type,reporting_entity,commodity,production_value,production_unit,product_emissions_MtCO2,flaring_emissions_MtCO2,venting_emissions_MtCO2,own_fuel_use_emissions_MtCO2,fugitive_methane_emissions_MtCO2e,total_operational_emissions_MtCO2e,total_emissions_MtCO2e,source
2005,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,24.656,Million tonnes/yr,60.12727479,0,0,0,6.792537045,6.792537045,66.91981183,"2006 China Coal Industry Yearbook, pp26"
2006,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,30.92,Million tonnes/yr,75.40295816,0,0,0,8.518220532,8.518220532,83.92117869,"2007 China Coal Industry Yearbook, pp20"
2007,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,40.208,Million tonnes/yr,98.05310937,0,0,0,11.0769926,11.0769926,109.130102,"2008 China Coal Industry Yearbook, pp68"
2008,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,48.32,Million tonnes/yr,117.835412,0,0,0,13.31178577,13.31178577,131.1471977,"2009 China Coal Industry Yearbook, pp40"
2009,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,56.8,Million tonnes/yr,138.5151366,0,0,0,15.6479601,15.6479601,154.1630967,"2010 China Coal Industry Yearbook, pp38"
2010,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,80.312,Million tonnes/yr,195.8525995,0,0,0,22.125334,22.125334,217.9779335,"2011 China Coal Industry Yearbook, pp360"
2011,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,81.488,Million tonnes/yr,198.7204481,0,0,0,22.4493129,22.4493129,221.169761,"2012 China Coal Industry Yearbook, pp366"
2012,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,90.944,Million tonnes/yr,221.7802919,0,0,0,25.05436766,25.05436766,246.8346596,"2013 China Coal Industry Yearbook, pp287"
2013,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,102.088,Million tonnes/yr,248.9565716,0,0,0,28.12445335,28.12445335,277.0810249,"2014 China Coal Industry Yearbook, pp318"
2014,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,101.696,Million tonnes/yr,248.000622,0,0,0,28.01646039,28.01646039,276.0170824,From the website: https://www.chyxx.com/data/201510/350372.html
2015,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,101.688,Million tonnes/yr,247.9811128,0,0,0,28.01425645,28.01425645,275.9953693,From the website: https://www.sohu.com/a/143155422_505851
2016,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,100.744,Million tonnes/yr,245.6790303,0,0,0,27.75419176,27.75419176,273.4332221,From the website: https://coal.in-en.com/html/coal-2480499.shtml
2017,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,112.08,Million tonnes/yr,273.3235301,0,0,0,30.87717197,30.87717197,304.2007021,From the website: https://www.sohu.com/a/252918156_807311
2018,Shaanxi Coal and Chemical Industry Group,State-owned Entity,Shaanxi Coal and Chemical Industry Group,Bituminous Coal,128.184,Million tonnes/yr,312.5954977,0,0,0,35.31369925,35.31369925,347.9091969,From the website: https://www.sohu.com/a/333519005_120065468
