Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Authors,Description,Categories,Page Count,Published Date
"Acevedo, Elizabeth",Clap When You Land,Banned in Classrooms,,,,Pennsylvania,Central York School District,Aug-21,Administrator,,,,,
"Acevedo, Elizabeth",The Poet X,Banned in Libraries,,,,Florida,Indian River County School District,Nov-21,Administrator,,,,,
"Acevedo, Elizabeth",The Poet X,Banned in Libraries and Classrooms,,,,New York,Marlboro Central School District,Feb-22,Administrator,,,,,
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator,,,,,
"Acevedo, Elizabeth",The Poet X,Banned in Libraries,,,,Virginia,New Kent County Public Schools,Oct-21,Administrator,,,,,
"Aciman, André",Call Me By Your Name (Call Me By Your Name Series),Banned Pending Investigation,,,,Virginia,Spotsylvania County Public Schools,Nov-21,Administrator,,,,,
"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Banned Pending Investigation,,,,Florida,Indian River County School District,Nov-21,Administrator,,,,,
"Ada, Alma Flor",My Name Is María Isabel,Banned Pending Investigation,,"Thompson, Kathryn Dyble","Cerro, Ana M.",Florida,Duval County Public Schools,Jan-22,Administrator,,,,,
"Addasi, Maha",Time to Pray,Banned Pending Investigation,,"Gannon, Ned","Albitar, Nuha",Florida,Duval County Public Schools,Jan-22,Administrator,,,,,
"Adeyemi, Tomi",Children of Blood and Bone (Legacy of Orïsha Series),Banned Pending Investigation,,,,Texas,Katy Independent School District,Jan-22,Administrator,,,,,
"Adeyoha, Koja","47,000 Beads",Banned in Classrooms,"Adeyoha, Angel","McGillis, Holly",,Pennsylvania,Central York School District,Aug-21,Administrator,,,,,
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned in Classrooms,,,,Michigan,Hudsonville Public Schools,Jan-22,Formal Challenge,,,,,
"Adler, Dahlia",Cool for the Summer,Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,,,,,
"Agell, Charlotte",The Accidental Adventures of India McAllister,Banned in Libraries,,,,Texas,North East Independent School District,Dec-21,Administrator,,,,,
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,,,,,
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,,,,,
"Ahmed, Roda",Mae Among the Stars,Banned in Classrooms,,"Burrington, Stasia",,Pennsylvania,Central York School District,Aug-21,Administrator,,,,,
"Ahmed, Samira","Love, Hate & Other Filters",Banned in Libraries,,,,Mississippi,Madison County Schools,Apr-22,Administrator,,,,,
"Ahmed, Samira","Love, Hate & Other Filters",Banned in Libraries,,,,Wisconsin,School District of Waukesha,Dec-21,Administrator,,,,,
"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned in Classrooms,,,,Pennsylvania,Central York School District,Aug-21,Administrator,,,,,
"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,,,,,
"Albertalli, Becky",Here's to Us,Banned Pending Investigation,"Silvera, Adam",,,Tennessee,Collierville Schools,Feb-22,Administrator,,,,,
"Albertalli, Becky",Kate in Waiting,Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,,,,,
"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May-22,Administrator,,,,,
"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,,,,,
"Albertalli, Becky","Love, Creekwood: A Simonverse Novella (Simonverse Series)",Banned in Libraries,,,,Texas,North East Independent School District,Dec-21,Administrator,,,,,
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,,,,,
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,Jan-22,Administrator,,,,,
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,,,,,
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Becky Albertalli,"From the award-winning author of Simon vs. the Homo Sapiens Agenda comes a funny, authentic novel about sisterhood, love, and identity. ""Heart-fluttering, honest, and hilarious. I can’t stop hugging this book."" (Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss) ""I have such a crush on this book! Not only is this one a must read, but it's a must re-read."" (Julie Murphy, New York Times bestselling author of Dumplin') Seventeen-year-old Molly Peskin-Suso knows all about unrequited love. No matter how many times her twin sister, Cassie, tells her to woman up, Molly can’t stomach the idea of rejection. So she’s careful. Fat girls always have to be careful. Then a cute new girl enters Cassie’s orbit, and for the first time ever, Molly’s cynical twin is a lovesick mess. Meanwhile, Molly's totally not dying of loneliness - except for the part where she is. Luckily, Cassie's new girlfriend comes with a cute hipster-boy sidekick. If Molly can win him over, she'll get her first kiss and she'll get her twin back. There's only one problem: Molly's coworker, Reid. He's a chubby Tolkien superfan with a season pass to the Ren Faire, and there's absolutely no way Molly could fall for him. Right?",Young Adult Fiction,218,2017-04-11
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,Jan-22,Administrator,Becky Albertalli,"From the award-winning author of Simon vs. the Homo Sapiens Agenda comes a funny, authentic novel about sisterhood, love, and identity. ""Heart-fluttering, honest, and hilarious. I can’t stop hugging this book."" (Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss) ""I have such a crush on this book! Not only is this one a must read, but it's a must re-read."" (Julie Murphy, New York Times bestselling author of Dumplin') Seventeen-year-old Molly Peskin-Suso knows all about unrequited love. No matter how many times her twin sister, Cassie, tells her to woman up, Molly can’t stomach the idea of rejection. So she’s careful. Fat girls always have to be careful. Then a cute new girl enters Cassie’s orbit, and for the first time ever, Molly’s cynical twin is a lovesick mess. Meanwhile, Molly's totally not dying of loneliness - except for the part where she is. Luckily, Cassie's new girlfriend comes with a cute hipster-boy sidekick. If Molly can win him over, she'll get her first kiss and she'll get her twin back. There's only one problem: Molly's coworker, Reid. He's a chubby Tolkien superfan with a season pass to the Ren Faire, and there's absolutely no way Molly could fall for him. Right?",Young Adult Fiction,218,2017-04-11
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Becky Albertalli,"From the award-winning author of Simon vs. the Homo Sapiens Agenda comes a funny, authentic novel about sisterhood, love, and identity. ""Heart-fluttering, honest, and hilarious. I can’t stop hugging this book."" (Stephanie Perkins, New York Times bestselling author of Anna and the French Kiss) ""I have such a crush on this book! Not only is this one a must read, but it's a must re-read."" (Julie Murphy, New York Times bestselling author of Dumplin') Seventeen-year-old Molly Peskin-Suso knows all about unrequited love. No matter how many times her twin sister, Cassie, tells her to woman up, Molly can’t stomach the idea of rejection. So she’s careful. Fat girls always have to be careful. Then a cute new girl enters Cassie’s orbit, and for the first time ever, Molly’s cynical twin is a lovesick mess. Meanwhile, Molly's totally not dying of loneliness - except for the part where she is. Luckily, Cassie's new girlfriend comes with a cute hipster-boy sidekick. If Molly can win him over, she'll get her first kiss and she'll get her twin back. There's only one problem: Molly's coworker, Reid. He's a chubby Tolkien superfan with a season pass to the Ren Faire, and there's absolutely no way Molly could fall for him. Right?",Young Adult Fiction,218,2017-04-11
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Tennessee,Collierville Schools,Feb-22,Administrator,"Becky Albertalli, Adam Silvera","A New York Times, USA Today, and Indie bestseller! Critically acclaimed and bestselling authors Becky Albertalli and Adam Silvera combine their talents in this smart, funny, heartfelt collaboration about two very different boys who can’t decide if the universe is pushing them together—or pulling them apart. ARTHUR is only in New York for the summer, but if Broadway has taught him anything, it’s that the universe can deliver a showstopping romance when you least expect it. BEN thinks the universe needs to mind its business. If the universe had his back, he wouldn’t be on his way to the post office carrying a box of his ex-boyfriend’s things. But when Arthur and Ben meet-cute at the post office, what exactly does the universe have in store for them . . . ? Maybe nothing. After all, they get separated. Maybe everything. After all, they get reunited. But what if they can’t nail a first date even after three do-overs? What if Arthur tries too hard to make it work and Ben doesn’t try hard enough? What if life really isn’t like a Broadway play? But what if it is? What if it’s us? Plus don't miss Here's to Us! Becky Albertalli and Adam Silvera reunite to continue the story of Arthur and Ben, the boys readers first fell for in What If It’s Us.",Young Adult Fiction,353,2018-10-09
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Texas,Granbury Independent School District,Jan-22,Administrator,"Becky Albertalli, Adam Silvera","A New York Times, USA Today, and Indie bestseller! Critically acclaimed and bestselling authors Becky Albertalli and Adam Silvera combine their talents in this smart, funny, heartfelt collaboration about two very different boys who can’t decide if the universe is pushing them together—or pulling them apart. ARTHUR is only in New York for the summer, but if Broadway has taught him anything, it’s that the universe can deliver a showstopping romance when you least expect it. BEN thinks the universe needs to mind its business. If the universe had his back, he wouldn’t be on his way to the post office carrying a box of his ex-boyfriend’s things. But when Arthur and Ben meet-cute at the post office, what exactly does the universe have in store for them . . . ? Maybe nothing. After all, they get separated. Maybe everything. After all, they get reunited. But what if they can’t nail a first date even after three do-overs? What if Arthur tries too hard to make it work and Ben doesn’t try hard enough? What if life really isn’t like a Broadway play? But what if it is? What if it’s us? Plus don't miss Here's to Us! Becky Albertalli and Adam Silvera reunite to continue the story of Arthur and Ben, the boys readers first fell for in What If It’s Us.",Young Adult Fiction,353,2018-10-09
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",,,Texas,North East Independent School District,Dec-21,Administrator,"Becky Albertalli, Adam Silvera","A New York Times, USA Today, and Indie bestseller! Critically acclaimed and bestselling authors Becky Albertalli and Adam Silvera combine their talents in this smart, funny, heartfelt collaboration about two very different boys who can’t decide if the universe is pushing them together—or pulling them apart. ARTHUR is only in New York for the summer, but if Broadway has taught him anything, it’s that the universe can deliver a showstopping romance when you least expect it. BEN thinks the universe needs to mind its business. If the universe had his back, he wouldn’t be on his way to the post office carrying a box of his ex-boyfriend’s things. But when Arthur and Ben meet-cute at the post office, what exactly does the universe have in store for them . . . ? Maybe nothing. After all, they get separated. Maybe everything. After all, they get reunited. But what if they can’t nail a first date even after three do-overs? What if Arthur tries too hard to make it work and Ben doesn’t try hard enough? What if life really isn’t like a Broadway play? But what if it is? What if it’s us? Plus don't miss Here's to Us! Becky Albertalli and Adam Silvera reunite to continue the story of Arthur and Ben, the boys readers first fell for in What If It’s Us.",Young Adult Fiction,353,2018-10-09
"Aleman, Daniel",Indivisible,Banned Pending Investigation,,,,Tennessee,Collierville Schools,Feb-22,Administrator,Arnold Steinhardt,"The author tells of his own development as a student, ""of how he and his intrepid colleagues were converted to chamber music ... [and of how] four individualists master and then overcome the confining demands of ensemble playing.""--Jacket.",Biography & Autobiography,324,2000-06-15
"Alexander, Kwame",The Undefeated,Banned in Classrooms,,"Nelson, Kadir",,Pennsylvania,Central York School District,Aug-21,Administrator,N/A,"As Union Cavalry officer John Henry Thomas (John Wayne) and former Confederate Colonel James Langdon (Rock Hudson) lead their men into new territories to begin a new life, their paths cross. Now, caught between Mexican rebels and the Emperor's forces, they find themselves fighting side by side and must forge and uneasy friendship in order to survive. Based on a story by Stanley L. Hough, this entertaining film about unlikely alliances is Western action at its best.",N/A,0,2006
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned in Classrooms,,,,Pennsylvania,Central York School District,Aug-21,Administrator,Michelle Alexander,"Once in a great while a book comes along that changes the way we see the world and helps to fuel a nationwide social movement. The New Jim Crow is such a book. Praised by Harvard Law professor Lani Guinier as ""brave and bold,"" this book directly challenges the notion that the election of Barack Obama signals a new era of colorblindness. With dazzling candor, legal scholar Michelle Alexander argues that ""we have not ended racial caste in America; we have merely redesigned it."" By targeting black men through the War on Drugs and decimating communities of color, the U.S. criminal justice system functions as a contemporary system of racial control—relegating millions to a permanent second-class status—even as it formally adheres to the principle of colorblindness. In the words of Benjamin Todd Jealous, president and CEO of the NAACP, this book is a ""call to action."" Called ""stunning"" by Pulitzer Prize–winning historian David Levering Lewis, ""invaluable"" by the Daily Kos, ""explosive"" by Kirkus, and ""profoundly necessary"" by the Miami Herald, this updated and revised paperback edition of The New Jim Crow, now with a foreword by Cornel West, is a must-read for all people of conscience.",Social Science,337,2012-01-16
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,,Texas,Klein Independent School District,Dec-21,Administrator,Michelle Alexander,"Once in a great while a book comes along that changes the way we see the world and helps to fuel a nationwide social movement. The New Jim Crow is such a book. Praised by Harvard Law professor Lani Guinier as ""brave and bold,"" this book directly challenges the notion that the election of Barack Obama signals a new era of colorblindness. With dazzling candor, legal scholar Michelle Alexander argues that ""we have not ended racial caste in America; we have merely redesigned it."" By targeting black men through the War on Drugs and decimating communities of color, the U.S. criminal justice system functions as a contemporary system of racial control—relegating millions to a permanent second-class status—even as it formally adheres to the principle of colorblindness. In the words of Benjamin Todd Jealous, president and CEO of the NAACP, this book is a ""call to action."" Called ""stunning"" by Pulitzer Prize–winning historian David Levering Lewis, ""invaluable"" by the Daily Kos, ""explosive"" by Kirkus, and ""profoundly necessary"" by the Miami Herald, this updated and revised paperback edition of The New Jim Crow, now with a foreword by Cornel West, is a must-read for all people of conscience.",Social Science,337,2012-01-16
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,,,Texas,North East Independent School District,Dec-21,Administrator,Michelle Alexander,"Once in a great while a book comes along that changes the way we see the world and helps to fuel a nationwide social movement. The New Jim Crow is such a book. Praised by Harvard Law professor Lani Guinier as ""brave and bold,"" this book directly challenges the notion that the election of Barack Obama signals a new era of colorblindness. With dazzling candor, legal scholar Michelle Alexander argues that ""we have not ended racial caste in America; we have merely redesigned it."" By targeting black men through the War on Drugs and decimating communities of color, the U.S. criminal justice system functions as a contemporary system of racial control—relegating millions to a permanent second-class status—even as it formally adheres to the principle of colorblindness. In the words of Benjamin Todd Jealous, president and CEO of the NAACP, this book is a ""call to action."" Called ""stunning"" by Pulitzer Prize–winning historian David Levering Lewis, ""invaluable"" by the Daily Kos, ""explosive"" by Kirkus, and ""profoundly necessary"" by the Miami Herald, this updated and revised paperback edition of The New Jim Crow, now with a foreword by Cornel West, is a must-read for all people of conscience.",Social Science,337,2012-01-16
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Florida,Indian River County School District,Nov-21,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,"Forney, Ellen",,Florida,Jackson County School District,Apr-22,Administrator,Sherman Alexie,"A New York Times bestseller—over one million copies sold! A National Book Award winner A Boston Globe-Horn Book Award winner Bestselling author Sherman Alexie tells the story of Junior, a budding cartoonist growing up on the Spokane Indian Reservation. Determined to take his future into his own hands, Junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other Indian is the school mascot. Heartbreaking, funny, and beautifully written, The Absolutely True Diary of a Part-Time Indian, which is based on the author's own experiences, coupled with poignant drawings by Ellen Forney that reflect the character's art, chronicles the contemporary adolescence of one Native American boy as he attempts to break away from the life he was destined to live. With a forward by Markus Zusak, interviews with Sherman Alexie and Ellen Forney, and black-and-white interior art throughout, this edition is perfect for fans and collectors alike.",Young Adult Fiction,299,2012-01-10
