sex,age,famsize,Pstatus,Medu,Fedu,reason,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,0
F,18.0,GT3,A,4.0,4.0,course,2.0,2.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6,
F,17.0,GT3,T,1.0,1.0,course,1.0,2.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6,
F,15.0,LE3,T,1.0,1.0,other,1.0,2.0,3.0,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,8.0,10,
F,15.0,GT3,T,4.0,2.0,home,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15,
F,16.0,GT3,T,3.0,3.0,home,1.0,2.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10,
M,16.0,LE3,T,4.0,3.0,reputation,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15,
M,16.0,LE3,T,2.0,2.0,home,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11,
F,17.0,GT3,A,4.0,4.0,home,2.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,6,
M,15.0,LE3,A,3.0,2.0,home,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19,
M,15.0,GT3,T,3.0,4.0,home,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15,
F,15.0,GT3,T,4.0,4.0,reputation,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,10.0,8.0,9,
F,15.0,GT3,T,2.0,1.0,reputation,3.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,12.0,12,
M,15.0,LE3,T,4.0,4.0,course,1.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14,
M,15.0,GT3,T,4.0,3.0,course,2.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11,
M,15.0,GT3,A,2.0,2.0,home,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,14.0,16.0,16,
F,16.0,GT3,T,4.0,4.0,home,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,4.0,14.0,14.0,14,
F,16.0,GT3,T,4.0,4.0,reputation,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,6.0,13.0,14.0,14,
F,16.0,GT3,T,3.0,3.0,reputation,3.0,2.0,0.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,8.0,10.0,10,
M,17.0,GT3,T,3.0,2.0,course,1.0,1.0,3.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,16.0,6.0,5.0,5,
M,16.0,LE3,T,4.0,3.0,home,1.0,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,4.0,8.0,10.0,10,
M,15.0,GT3,T,4.0,3.0,reputation,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,13.0,14.0,15,
M,15.0,GT3,T,4.0,4.0,other,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,12.0,15.0,15,
M,16.0,LE3,T,4.0,2.0,course,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0,15.0,16,
M,16.0,LE3,T,2.0,2.0,reputation,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13.0,13.0,12,
F,15.0,GT3,T,2.0,4.0,course,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,9.0,8,
F,16.0,GT3,T,2.0,2.0,home,1.0,1.0,2.0,no,yes,yes,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,6.0,9.0,8,
M,15.0,GT3,T,2.0,2.0,home,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12.0,12.0,11,
M,15.0,GT3,T,4.0,2.0,other,1.0,1.0,0.0,no,no,yes,no,yes,yes,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15.0,16.0,15,
M,16.0,LE3,A,3.0,4.0,home,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11.0,11.0,11,
M,16.0,GT3,T,4.0,4.0,home,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,10.0,12.0,11,
M,15.0,GT3,T,4.0,4.0,home,1.0,2.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,9.0,11.0,12,
M,15.0,GT3,T,4.0,4.0,reputation,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,16.0,17,
M,15.0,GT3,T,4.0,3.0,course,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,17.0,16.0,16,
M,15.0,LE3,T,3.0,3.0,course,1.0,2.0,0.0,no,no,no,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,8.0,10.0,12,
M,16.0,GT3,T,3.0,2.0,home,1.0,1.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,12.0,14.0,15,
F,15.0,GT3,T,2.0,3.0,other,2.0,1.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1.0,1.0,1.0,5.0,0.0,8.0,7.0,6,
M,15.0,LE3,T,4.0,3.0,home,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,2.0,15.0,16.0,18,
M,16.0,GT3,A,4.0,4.0,reputation,2.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15.0,16.0,15,
F,15.0,GT3,T,3.0,4.0,course,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12.0,12.0,11,
F,15.0,GT3,T,2.0,2.0,reputation,1.0,1.0,0.0,yes,yes,yes,yes,yes,yes,no,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,13,
F,16.0,LE3,T,2.0,2.0,home,2.0,2.0,1.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,25.0,7.0,10.0,11,
M,15.0,LE3,T,4.0,4.0,home,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12.0,12.0,12,
M,15.0,GT3,T,4.0,4.0,course,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,19.0,18.0,18,
M,15.0,GT3,T,2.0,2.0,course,1.0,1.0,0.0,yes,yes,no,no,yes,yes,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,11,
F,16.0,LE3,T,2.0,2.0,course,2.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10.0,10.0,9,
F,15.0,LE3,A,4.0,3.0,course,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,8.0,8.0,6,
F,16.0,LE3,A,3.0,3.0,home,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11.0,12.0,11,
M,16.0,GT3,T,4.0,3.0,reputation,1.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19.0,19.0,20,
M,15.0,GT3,T,4.0,2.0,home,1.0,2.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15.0,15.0,14,
F,15.0,GT3,T,4.0,4.0,other,1.0,2.0,1.0,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2.0,7.0,7.0,7,
F,16.0,LE3,T,2.0,2.0,course,3.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,2.0,12.0,13.0,13,
F,15.0,LE3,T,4.0,2.0,other,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,11.0,13.0,13,
M,15.0,LE3,A,4.0,2.0,other,2.0,1.0,1.0,no,no,no,no,yes,yes,no,no,5.0,5.0,5.0,3.0,4.0,5.0,6.0,11.0,11.0,10,
F,15.0,GT3,T,4.0,4.0,course,1.0,1.0,0.0,yes,yes,yes,no,yes,yes,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,8.0,10.0,11,
