Title,Author,Year,Subjects
Howtobeanantiracist,Ibram X,2019,"['Kendi. [2019] Kendi,Ibram X.', 'Anti-racism--United States.', 'Racism--Psychologicalaspects.', 'United States--Racerelations.']"
Uncomfortableconversationswithablackman,Emmanuel Acho,2020,"['Racism--United States.', 'Anti-racism.', 'United States--Racerelations.', 'Nonfiction.']"
Whydidn'tweriot?:a Blackman in Trumpland,Issac J,2020,"['Bailey. [2020] |Racism--United States--History--21 stcentury.', 'United States--Racerelations--History--21 stcentury.', 'African Americans--Social conditions--21 stcentury.', 'Discriminationinlawenforcement-- United States.', 'Police brutality--United States.', 'African Americans--Crimesagainst.', 'African Americansinmassmedia.', 'African Americans--Politicsandgovernment--21 stcentury.', 'Trump, Donald.--1946-']"
Longtimecoming:reckoningwithracein America,Michael Eric 2020,,"['United States--Racerelations.', 'Racism--United States.', 'African Americans--Socialconditions.', 'Blacklivesmattermovement.', 'Racialprofilinginlawenforcement--United States. Dyson.']"
Stateofemergency:howwewininthe countrywebuilt,Tamika 2021,,"['African Americans--Civilrights.', 'Racialjustice--United States.', 'Racism--United States.', 'Racialprofilinginlawenforcement--United States.', 'African Americans--Socialconditions--21 st D.Malloryastoldto Ashley A. Coleman', '[forewords,Angela Y. century.', 'United States--Racerelations. Davisand Cardi B].']"
"Howwecanwin race,historyandchangingthe moneygame 2021",,,"['Jones,Kimberly--(Kimberly Latrice)', 'African Americans--Socialconditions.', 'African Americans--Economicconditions.', 'African Americans--Civilrights--History--Anecdotes.', ""Social that'srigged/Kimberly Jones. movements--United States--History--Anecdotes."", 'African Americanwomensocialreformers--Biography.', 'African American civilrightsworkers--Biography.', 'African Americans--Lifeskills guides:Racism--United States--21 stcentury.']"
Myvanishingcountry:amemoir,Bakari Sellers,2020,"['Sellers, Bakari,--1984-', 'African Americanlegislators--South Carolina--Biography.', 'Legislators--South Carolina--Biography.', 'South Carolina.--General Assembly.--Houseof Representatives-- Biography.', 'Rural African Americans--South Carolina--Socialconditions--20 thcentury.', 'Racism--South Carolina--History--21 stcentury.', 'Denmark(S.C.)--Biography.']"
Thegangsof Zion:a Blackcop'scrusade in Mormoncountry,"[2024] Stallworth,Ron",,"['Gangs--Utah--Casestudies.', 'African Americanpolice--Utah--Casestudies.', 'Police--Utah--Casestudies.', 'Racism--Utah--Casestudies. Ron Stallworth, with Sofia Quintero.']"
Americanhate survivorsspeakout,editedby Arjun Singh Sethi,2018,"['Victimsofhatecrimes--United States.', 'Hatecrimes--United States.', 'Racism--United States--History--21 stcentury.', 'United States--Racerelations--History--21 stcentury.', 'United States-- Politicsandgovernment--2017-']"
Therageofinnocence :how Americacriminalizes Blackyouth,[2021] Discriminationinjuvenilejusticeadministration--United States,,"['Discriminationincriminaljusticeadministration--United States.', 'African Americanyouth.', 'Police-communityrelations-- Kristin Henning. United States.', 'Racialprofilingin lawenforcement--United States.', 'Discriminationinlawenforcement--United States.', 'Racism--United States.']"
"Ourtimeisnow power,purpose,andthefightforafair America 2020",,2020,"['Abrams,Stacey.', 'Elections--Corruptpractices--United States.', 'Voting--Corruptpractices--United States.', 'Voterregistration--Corruptpractices--United States.', 'Racism--Political aspects-- Stacey Abrams. |United States.', 'Politicalparticipation--Socialaspects--United States.', 'Presidents--United States--Election,2020.']"
What'syourpronoun?:beyondhe& she,Dennis Baron,2020,"['English language--Pronoun.', 'Grammar,Comparativeandgeneral--Pronoun.', 'Englishlanguage--Gender.', 'Gender-nonconformingpeople--Language.', 'Linguisticchange.', 'Anthropological linguistics.']"
Rainbowmilk:anovel,Paul Mendez,2020,"['|Jamaicans--England--Fiction.', 'Teenageboys--Fiction.', 'Genderidentity--Fiction.', 'Sexworkers--Fiction.', 'Gaymen--Fiction.', 'Sexualminorities--Fiction.', ""Jehovah's Witnesses--Fiction."", 'London (England)--Fiction.']"
Thegenesisofmisery,Neon Yang,2022,"['Spacewarfare--Fiction.', 'Lifeonotherplanets--Fiction.', 'Gender-nonconformingpeople--Fiction.', 'Royalhouses--Fiction.', 'Beliefanddoubt--Fiction.', 'Prophecies--Fiction.']"
Thelastwhiteman,Mohsin Hamid,2022,"['Humanskincolor--Fiction.', 'Racism--Fiction.', 'Identity(Philosophicalconcept)--Fiction.', 'Teachers--Fiction.']"
Lightfromuncommonstars,Ryka Aoki,2021,"['Fiction.', 'Violinists--Fiction.', 'Transgenderpeople--Fiction.', 'Blessing andcursing--Fiction.']"
Everywhereyou don'tbelong:anovel,by Gabriel Bump,2020,"['African Americans--Fiction.', 'Racism--Fiction.', 'Grandparentandchild--Fiction.', 'Riots--Fiction.', 'Chicago(Ill.)--Fiction.', 'Collegestudents--Fiction.']"
Evileye:anovel,Etaf Rum,2023,"['Palestinian Americans--Fiction.', 'Families--Fiction.', 'Racism--Fiction.', 'Palestinian American women--Fiction.', 'Mothersanddaughters--Fiction.', 'Generationaltrauma--Fiction.', 'Racisminthe |workplace--United States--Fiction.', 'Businesspeople--Fiction.', 'Immigrantfamilies--Fiction.', 'Psychictrauma--Fiction.', 'Brooklyn(New York,N.Y)--Fiction.']"
Liesmyteachertoldme:everythingyour Americanhistory 2008,,,"['United States--History--Textbooks.', 'United States--Historiography.', 'Indiansof North Americaintextbooks.', 'Thanksgiving Dayintextbooks.', 'Racismintextbooks. textbookgotwrong/James W.Loewen.']"
Genderqueer:amemoir,"by Maia Kobabe; colorsby Phoebe [2020] Kobabe,Maia--Comicbooks,strips,etc",,"['Gender-nonconformingpeople--United States--Biography--Comicbooks,strips,etc.', 'Asexualpeople--United States--Biography--Comicbooks,strips, Kobabe. etc.', 'Sexualminorityyouth--United States--Biography--Comicbooks,strips,etc.', 'Sexualminorities--United States--Biography--Comicbooks,strips,etc.', 'Asexuality(Sexualorientation)-- Comicbooks,strips,etc.', 'Genderidentity--Comicbooks,strips,etc.', 'Comingout(Sexualorientation)--Comicbooks,strips,etc.']"
Thethird person,Emma Grove,2022,"['Grove,Emma--(Animator)--Mentalhealth--Comicbooks,strips,etc.', 'Transgenderwomen--Psychology--Casestudies--Comicbooks,strips,etc.', 'Transgenderwomen--United States-- Biography--Comicbooks,strips,etc.', 'Multiplepersonality--Patients--United States--Biography--Comicbooks, strips,etc.', 'Multiplepersonality--Casestudies--Comicbooks,strips,etc.', 'Psychotherapy--Casestudies--Comicbooks,strips,etc.', 'Therapistandpatient--Comicbooks,strips,etc.', 'Womencartoonists--United States--Biography--Comicbooks, strips,etc.', 'Gender identity--Comicbooks,strips,etc.', 'Multiplepersonality.', 'Psychotherapy.', 'Physicianandpatient.', 'Transgenderwomen--Psychology--Comic books,strips,etc.', 'Transgenderwomen--Biography.', 'Transgenderwomen--Comicbooks strins etc Genderidentity. Page 1 Listof Removed Booksfrom Nimitz Library Released:April 4,2025 Publication Title Subjects Date']"
Stone fruit,Lee Lai,2021,"['Lesbian couples--Comic books,strips, etc.', 'Dysfunctionalfamilies--Comicbooks, strips,etc.', 'Sisters--Comicbooks,strips,etc.', 'Sexualminorities--Comicbooks,strips,etc.', 'Genderidentity-- Comicbooks,strips,etc.']"
Fortoday Iamaboy,Kim Fu,2014,"['Brothersand sisters--Fiction.', 'Fathersandsons--Fiction.', 'Chinesefiction--Canada.', 'Genderidentity--Fiction.']"
Sorrowland,Rivers Solomon,2021,"['Albinism--Fiction.', 'Mothers--Fiction.', 'Blackpeople--Fiction.', 'Transgenderpeople--Fiction.', 'Survival--Fiction.', 'Twins--Fiction.', 'Racism--Fiction.', 'Metamorphosis--Fiction.', 'Cultmembers-- Fiction.', 'Magicrealism(Literature)--Fiction.', 'Human experimentationinmedicine--Fiction.']"
Thehateugive,Angie Thomas,2017,"['Racism--Fiction.', 'Racerelations--Fiction.', 'African Americanteenagers--Fiction.', 'Policeshootings--Fiction.', 'Witnesses--Fiction.', 'Police-communityrelations--Fiction.']"
Pragmatismandtheproblemofrace,edited by Bill E,2004,"['Lawsonand c 2004. Pragmatism.', 'Racism--United States.', 'United States--Racerelations. Donald F.Koch.']"
Definingdifference:raceand racisminthe historyofpsychology,c 2004,,"['Racisminpsychology--United States--History.', 'Racisminpsychology--History.', 'Psychology--United States--History.', 'Psychology--History. editedby Andrew S.Winston.']"
Thepsychoanalysis ofrace,edited by Christopher Lane,1998,"['Psychoanalysisandracism.', 'Race--Psychologicalaspects.', 'Raceawareness.']"
Desiringwhiteness:a Lacanian analysisofrace,Kalpana 2000,1901,"['Psychoanalysisand racism.', 'Race--Psychologicalaspects.', 'Raceawareness.', 'Lacan,Jacques,--1901-1981. Seshadri-Crooks.']"
