GPA,Weighted GPA,Highest SAT CR (taken before Mar 2016),Highest SAT M (taken before Mar 2016),Highest SAT WR (taken before Mar 2016),Highest Comb. SAT 1600,Highest Comb. SAT 2400
1.02,1.02,,,,,
1.3,1.77,,,,,
1.36,1.4,,,,,
1.6,1.69,,,,,
1.61,1.82,490,500,440,990,1430
1.68,1.83,,,,,
1.72,1.97,550,590,470,1140,1610
1.73,2.23,680,570,530,1250,1780
1.86,1.93,,,,,
1.94,1.99,,,,,
1.95,2.37,,,,,
1.98,2.01,410,430,380,840,1220
2,2.04,360,420,410,780,1190
2.01,2.12,670,510,610,1180,1790
2.05,2.57,530,490,440,1020,1460
2.1,2.51,,,,,
2.12,2.67,460,460,410,920,1330
2.12,2.29,,,,,
2.12,2.55,,,,,
2.13,2.27,,,,,
2.14,2.59,680,620,720,1300,2020
2.17,2.17,,,,,
2.17,2.48,440,460,450,900,1350
2.18,2.54,510,490,490,1000,1490
2.19,2.4,390,470,390,860,1250
2.21,2.46,550,470,470,1020,1490
2.22,2.66,,,,,
2.22,2.68,450,460,380,910,1290
2.22,2.46,,,,,
2.25,2.48,,,,,
2.27,2.56,480,520,520,1000,1520
2.31,2.36,370,360,370,730,1100
2.31,2.69,590,510,580,1100,1680
2.32,2.92,540,680,510,1220,1730
2.35,2.95,630,700,570,1330,1900
2.35,2.35,,,,,
2.37,2.89,460,530,540,990,1530
2.38,2.84,570,630,620,1200,1820
2.38,2.84,530,550,510,1080,1590
2.38,2.62,500,370,310,870,1180
2.39,2.72,480,460,470,940,1410
2.43,2.91,560,640,560,1200,1760
2.45,2.95,350,560,400,910,1310
2.46,2.87,460,500,490,960,1450
2.46,2.8,530,550,400,1080,1480
2.47,2.97,490,540,480,1030,1510
2.47,2.9,,,,,
2.47,2.93,650,650,610,1300,1910
2.48,2.69,,,,,
2.48,2.65,500,500,450,1000,1450
2.48,3.08,570,740,530,1310,1840
2.49,3.2,610,500,540,1110,1650
2.49,2.78,430,320,430,750,1180
2.5,2.96,500,520,550,1020,1570
2.51,3.01,500,460,450,960,1410
2.52,2.77,380,460,440,840,1280
2.52,2.75,,,,,
2.54,2.96,400,480,370,880,1250
2.55,2.9,,,,,
2.55,3.09,640,520,560,1160,1720
2.58,2.63,350,410,400,760,1160
2.58,2.95,460,460,330,920,1250
2.58,2.87,410,510,330,920,1250
2.6,2.86,,,,,
2.61,3.09,480,430,490,910,1400
2.62,2.94,,,,,
2.62,3.08,580,450,530,1030,1560
2.64,2.75,,,,,
2.64,3,600,550,480,1150,1630
2.65,3.15,620,550,570,1170,1740
2.66,3.1,,,,,
2.66,3.09,,,,,
2.68,2.82,,,,,
2.69,3.21,580,480,580,1060,1640
2.7,3.13,400,460,450,860,1310
2.71,3.09,670,630,520,1300,1820
2.72,3.24,,,,,
2.73,3.14,420,440,510,860,1370
2.76,3.46,730,700,680,1430,2110
2.78,2.78,,,,,
2.78,3.12,390,430,490,820,1310
2.78,2.78,,,,,
2.79,3.13,,,,,
2.8,3.56,730,640,690,1370,2060
2.81,3.02,450,440,420,890,1310
2.81,3.27,,,,,
2.82,3.3,690,610,600,1300,1900
2.82,3.32,560,600,480,1160,1640
2.83,3.59,630,770,590,1420,1990
2.83,3.53,680,770,640,1450,2090
2.85,3.35,470,490,440,960,1400
2.85,3.43,640,600,510,1240,1750
2.86,3.33,530,560,560,1090,1650
2.86,3.33,480,540,380,1020,1400
2.86,3.36,580,590,500,1170,1670
2.86,3.14,740,600,590,1340,1930
2.87,3.07,610,520,460,1130,1590
2.87,3,,,,,
2.88,3.32,450,430,500,880,1380
2.88,2.88,400,370,450,770,1220
2.88,3.39,540,630,560,1170,1730
2.88,3.36,520,470,410,990,1400
2.9,3.24,,,,,
2.9,3.44,540,480,480,1020,1500
2.9,3.31,,,,,
2.9,3.42,600,640,600,1240,1840
2.91,3.64,630,720,650,1350,2000
2.91,3.43,540,520,490,1060,1550
2.92,3.36,490,430,470,920,1390
2.94,3.44,570,610,530,1180,1710
2.95,3.2,570,420,610,990,1600
2.95,3.14,440,440,470,880,1350
2.95,3.14,320,400,330,720,1050
2.96,3.43,500,460,470,960,1430
2.97,3.47,560,500,630,1060,1690
2.97,3.49,540,620,580,1160,1740
2.97,3.52,620,650,650,1270,1920
2.98,3.7,760,670,770,1430,2200
2.98,3.55,610,670,580,1280,1860
2.99,3.49,560,560,560,1120,1680
2.99,3.46,480,550,490,1030,1520
3,3.47,530,470,560,1000,1560
3.03,3.34,360,440,500,800,1300
3.03,3.47,,,,,
3.03,3.69,560,730,590,1290,1880
3.03,3.27,,,,,
3.04,3.78,600,690,670,1290,1960
3.04,3.56,,,,,
3.05,3.56,720,540,570,1260,1830
3.05,3.59,640,770,580,1410,1990
3.06,3.54,720,730,720,1450,2170
3.06,3.1,,,,,
3.06,3.47,450,460,470,910,1380
3.06,3.56,550,590,580,1140,1720
3.06,3.72,670,670,700,1340,2040
3.06,3.56,540,570,610,1110,1720
3.08,3.51,490,620,470,1110,1580
3.08,3.58,530,620,600,1150,1750
3.08,3.7,550,610,580,1160,1740
3.08,3.97,620,660,650,1280,1930
3.09,3.62,,,,,
3.09,3.62,640,710,590,1350,1940
3.09,3.55,540,490,570,1030,1600
3.09,3.5,,,,,
3.1,3.88,660,650,590,1310,1900
3.1,3.88,760,750,730,1510,2240
3.11,3.61,410,390,440,800,1240
3.12,3.42,590,620,660,1210,1870
3.12,3.64,620,610,620,1230,1850
3.12,3.35,,,,,
3.12,4.09,680,670,680,1350,2030
3.13,3.55,,,,,
3.13,3.56,500,540,540,1040,1580
3.13,3.51,,,,,
3.14,3.69,640,630,610,1270,1880
3.14,3.8,530,560,530,1090,1620
3.14,3.61,480,590,520,1070,1590
3.15,3.29,,,,,
3.15,3.7,620,650,660,1270,1930
3.16,3.87,660,670,590,1330,1920
3.16,3.9,600,670,520,1270,1790
3.16,3.7,590,590,630,1180,1810
3.16,3.96,600,750,590,1350,1940
3.17,3.35,,,,,
3.18,4.08,690,610,710,1300,2010
3.18,3.68,420,530,460,950,1410
3.18,3.31,,,,,
3.18,3.73,520,600,540,1120,1660
3.18,3.87,600,800,680,1400,2080
3.19,3.61,590,560,510,1150,1660
3.19,3.74,,,,,
3.2,3.46,530,520,400,1050,1450
3.2,3.71,470,600,540,1070,1610
3.2,3.73,560,600,570,1160,1730
3.2,3.7,,,,,
3.2,3.98,620,730,630,1350,1980
3.21,3.76,580,560,550,1140,1690
3.22,3.77,610,510,490,1120,1610
3.22,3.84,650,640,700,1290,1990
3.22,3.92,590,680,690,1270,1960
3.22,3.96,570,470,590,1040,1630
3.22,3.94,650,610,650,1260,1910
3.23,4.11,670,690,660,1360,2020
3.23,3.91,550,610,530,1160,1690
3.23,3.8,,,,,
3.24,3.92,730,640,700,1370,2070
3.24,3.84,600,670,530,1270,1800
3.24,3.74,430,510,440,940,1380
3.25,3.77,500,490,450,990,1440
3.25,4.06,600,770,610,1370,1980
3.25,3.31,,,,,
3.26,3.76,620,580,690,1200,1890
3.26,4.11,640,650,710,1290,2000
3.26,3.76,520,460,600,980,1580
3.27,3.79,540,630,490,1170,1660
3.27,3.97,600,600,560,1200,1760
3.27,3.32,340,430,480,770,1250
3.27,3.56,,,,,
3.28,3.95,750,660,720,1410,2130
3.28,3.89,460,770,560,1230,1790
3.28,3.84,530,600,560,1130,1690
3.28,3.75,390,470,430,860,1290
3.28,4.06,640,680,720,1320,2040
3.29,3.84,480,620,570,1100,1670
3.29,4.04,750,800,710,1550,2260
3.29,3.79,520,530,540,1050,1590
3.29,3.85,580,650,640,1230,1870
3.29,3.79,520,510,520,1030,1550
3.29,3.89,540,610,580,1150,1730
3.29,3.7,670,650,560,1430,1880
3.3,3.77,,,,,
3.3,3.73,540,490,530,1030,1560
3.3,3.8,420,530,460,950,1410
3.3,3.6,570,390,510,960,1470
3.3,4.2,720,720,660,1440,2100
3.3,3.43,,,,,
3.31,3.59,550,580,570,1130,1700
3.31,4.2,720,690,720,1410,2130
3.32,3.98,,,,,
3.32,3.58,470,480,540,950,1490
3.32,3.93,620,630,610,1250,1860
3.32,3.73,570,510,490,1080,1570
3.32,4.04,720,660,690,1380,2070
3.32,3.93,620,710,600,1330,1930
3.33,3.87,540,620,680,1160,1840
3.33,3.83,,,,,
3.33,3.71,590,520,470,1110,1580
3.34,3.89,470,510,580,980,1560
3.34,3.9,630,580,550,1210,1760
3.34,3.91,,,,,
3.34,4.15,720,730,760,1450,2210
3.34,3.86,590,510,540,1100,1640
3.35,3.85,630,590,660,1220,1880
3.35,3.76,430,420,460,850,1310
3.36,3.57,570,550,540,1120,1660
3.36,4.02,630,650,660,1350,1940
3.36,3.86,,,,,
3.36,3.99,570,620,700,1190,1890
3.36,3.87,660,660,710,1320,2030
3.37,3.73,450,480,470,930,1400
3.37,3.83,420,460,430,880,1310
3.37,4.01,480,540,650,1020,1670
3.37,4.07,630,750,740,1380,2120
3.38,4.2,770,780,800,1550,2350
3.38,4.15,670,610,620,1280,1900
3.38,4.21,690,710,760,1400,2160
3.38,4.17,590,630,580,1220,1800
3.38,3.94,480,570,470,1050,1520
3.39,3.89,640,710,670,1350,2020
3.39,3.91,600,670,570,1270,1840
3.39,3.89,480,530,440,1010,1450
3.39,4.18,530,550,500,1080,1580
3.39,4.27,800,780,750,1580,2330
3.4,3.86,,,,,
3.4,3.92,560,600,530,1160,1690
3.4,3.61,620,560,540,1180,1720
3.4,4.15,650,800,620,1450,2070
3.4,4.16,620,700,610,1320,1930
3.4,3.99,510,560,640,1070,1710
3.41,4.07,670,560,610,1230,1840
3.41,3.76,410,380,430,790,1220
3.42,4.03,410,480,480,890,1370
3.42,3.94,580,640,670,1220,1890
3.43,3.74,410,430,490,840,1330
3.43,3.95,520,650,530,1170,1700
3.43,4.18,620,650,600,1270,1870
3.43,4.2,620,800,600,1420,2020
3.43,4.27,660,580,640,1240,1880
3.44,4.1,590,660,610,1250,1860
3.45,3.97,550,600,530,1150,1680
3.45,4.23,530,710,610,1240,1850
3.45,4.02,610,590,590,1200,1790
3.45,4,770,750,680,1520,2200
3.46,4.09,680,640,730,1320,2050
3.46,4.08,580,560,610,1140,1750
3.46,4.29,800,790,710,1590,2300
3.46,4.02,600,680,640,1280,1920
3.47,4.08,590,680,700,1270,1970
3.47,4.16,,,,,
3.47,4.11,630,590,670,1220,1890
3.47,4.3,710,730,690,1440,2130
3.47,3.64,340,470,360,810,1170
3.48,4.23,670,650,540,1320,1860
3.48,4.02,670,590,620,1260,1880
3.49,4.03,,,,,
3.49,4.09,,,,,
3.49,3.99,480,510,550,990,1540
3.49,3.66,470,420,420,890,1310
3.49,3.84,410,520,430,930,1360
3.49,4.11,530,610,650,1140,1790
3.5,4.01,,,,,
3.5,4.37,790,720,710,1510,2220
3.51,4.31,,,,,
3.51,4.01,340,470,410,810,1220
3.51,4.03,590,550,590,1140,1730
3.52,4.16,630,620,600,1250,1850
3.52,4.27,630,670,760,1300,2060
3.52,3.64,360,380,420,740,1160
3.53,4.33,720,750,650,1470,2120
3.53,4.21,520,630,700,1150,1850
3.54,4.36,750,800,710,1550,2260
3.54,4.04,570,660,660,1230,1890
3.54,4.3,690,690,800,1380,2180
3.54,4.24,680,570,600,1250,1850
3.55,3.9,380,530,350,910,1260
3.55,4.07,520,520,520,1040,1560
3.55,4.48,680,800,800,1480,2280
3.55,4.09,530,630,560,1160,1720
3.56,4.16,,,,,
3.56,4.56,760,770,800,1530,2330
3.56,4.41,720,770,710,1490,2200
3.56,4.14,610,580,640,1190,1830
3.56,4.38,700,730,690,1430,2120
3.56,4.34,690,660,740,1350,2090
3.56,4.27,610,700,730,1310,2040
3.57,4.5,,,,,
3.57,4.54,730,630,760,1360,2120
3.57,4.37,610,560,560,1170,1730
3.57,4,550,590,620,1140,1760
3.57,4.21,500,590,530,1090,1620
3.58,4.51,770,780,750,1550,2300
3.58,4.17,570,560,500,1130,1630
3.58,4.18,550,650,620,1200,1820
3.58,4.16,580,590,620,1170,1790
3.59,4.09,570,540,610,1110,1720
3.59,4.11,570,570,540,1140,1680
3.6,4.25,580,600,670,1180,1850
3.6,4.29,680,710,570,1390,1960
3.61,4.32,800,640,740,1440,2180
3.61,4.41,630,580,650,1210,1860
3.62,4.14,520,490,550,1010,1560
3.62,4.21,730,650,720,1380,2100
3.62,4.49,770,730,740,1500,2240
3.62,4.06,590,590,560,1180,1740
3.63,4.47,640,660,650,1300,1950
3.64,4.18,580,550,630,1130,1760
3.64,4.48,720,730,690,1450,2140
3.64,4.53,740,740,800,1480,2280
3.64,4.45,720,800,730,1520,2250
3.65,4.35,720,660,710,1380,2090
3.65,4.32,750,630,620,1380,2000
3.66,3.89,470,410,500,880,1380
3.66,4.24,630,580,640,1210,1850
3.66,4.05,590,620,610,1210,1820
3.66,4.3,530,720,540,1250,1790
3.66,4.47,620,770,660,1390,2050
3.67,4.37,,,,,
3.67,4.2,590,620,650,1210,1860
3.67,4.11,470,520,510,990,1500
3.67,4.43,680,680,800,1360,2160
3.68,4.31,540,680,700,1220,1920
3.68,4.6,690,800,740,1490,2230
3.68,4.53,,,,,
3.68,4.55,710,730,690,1440,2130
3.68,4.45,730,740,790,1470,2260
3.68,4.19,640,610,620,1250,1870
3.69,4.39,670,750,640,1420,2060
3.69,4.43,610,620,720,1230,1950
3.69,4.52,670,640,740,1310,2050
3.69,4.69,740,800,770,1540,2310
3.7,4.53,780,690,780,1470,2250
3.7,4.41,690,730,720,1420,2140
3.7,4.32,650,680,650,1330,1980
3.7,4.46,650,690,640,1340,1980
3.7,4.51,,,,,
3.7,4.47,670,500,660,1170,1830
3.71,4.65,640,700,670,1340,2010
3.71,4.56,740,720,740,1460,2200
3.72,4.56,660,690,750,1350,2100
3.72,4.4,690,630,520,1320,1840
3.73,4.02,640,700,610,1340,1950
3.73,4.45,690,680,800,1370,2170
3.73,4.39,610,470,620,1080,1700
3.73,3.91,400,380,430,780,1210
3.74,4.27,620,800,630,1420,2050
3.74,4.62,630,710,680,1340,2020
3.74,4.58,730,750,720,1480,2200
3.74,4.61,750,800,710,1550,2260
3.74,4.26,440,680,600,1120,1720
3.74,4.54,650,690,680,1340,2020
3.75,4.69,640,740,760,1380,2140
3.76,4.65,800,800,720,1600,2320
3.76,4.73,790,790,700,1580,2280
3.76,4.72,770,690,710,1460,2170
3.77,4.68,800,700,750,1500,2250
3.77,4.63,800,750,770,1550,2320
3.77,4.42,590,550,630,1140,1770
3.77,4.53,630,590,750,1220,1970
3.78,4.6,640,710,640,1350,1990
3.78,4.78,730,790,790,1520,2310
3.78,4.32,,,,,
3.78,4.67,,,,,
3.79,4.65,720,790,750,1510,2260
3.79,4.53,630,730,710,1360,2070
3.79,4.57,720,750,730,1470,2200
3.79,4.25,580,660,560,1240,1800
3.8,4.56,660,740,750,1400,2150
3.8,4.59,800,690,760,1490,2250
3.8,4.67,720,790,750,1510,2260
3.8,4.57,720,660,710,1380,2090
3.81,4.76,730,780,780,1510,2290
3.82,4.71,,,,,
3.82,4.52,620,610,690,1230,1920
3.83,4.61,,,,,
3.84,4.84,800,800,760,1600,2360
3.85,4.55,760,700,790,1460,2250
3.85,4.62,620,680,650,1300,1950
3.85,4.7,800,750,750,1550,2300
3.86,4.78,770,780,730,1550,2280
3.86,4.6,,,,,
3.86,4.6,730,800,770,1530,2300
3.86,4.64,760,770,770,1530,2300
3.86,4.36,570,640,590,1210,1800
3.87,4.85,680,720,630,1400,2030
3.88,4.38,,,,,
3.88,4.75,630,720,710,1350,2060
3.89,4.75,790,800,650,1590,2240
3.89,4.58,630,630,730,1260,1990
3.89,4.77,800,800,700,1600,2300
3.9,4.83,780,770,750,1550,2300
3.9,4.46,540,720,580,1260,1840
3.9,4.66,730,740,730,1470,2200
3.9,4.83,750,800,780,1550,2330
3.91,4.41,,,,,
3.93,4.79,650,730,740,1380,2120
3.94,4.79,630,690,670,1320,1990
3.94,4.9,730,770,750,1500,2250
3.95,4.8,760,740,660,1500,2160
3.95,4.81,760,790,750,1550,2300
3.96,4.85,730,730,790,1460,2250
3.96,4.91,800,800,790,1600,2390
3.96,4.83,800,790,780,1590,2370
3.98,4.94,760,800,800,1560,2360
3.98,4.95,730,800,780,1530,2310
3.98,4.98,800,730,790,1530,2320
3.98,4.86,800,800,750,1600,2350
3.99,4.85,760,730,800,1490,2290
4,5,800,800,790,1600,2390
4,4.26,590,720,690,1310,2000
312,3.8,620,730,640,1350,1990
